Pair ID,Original Terms,Inclusive Terms,Original Terms (Kannada),Inclusive Terms (Kannada)
226,firemen,firefighters,ಅಗ್ನಿಶಾಮಕ ಪುರುಷರು,ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿಗಳು
227,fisherman,fisher,ಮೀನುಗಾರ,ಮೀನು ಹಿಡಿಯುವವ
228,fishermen,fishers,ಮೀನುಗಾರರು,ಮೀನು ಹಿಡಿಯುವವರು
229,flagman,traffic guard,ಧ್ವಜ ಸೂಚಕ ಪುರುಷ,ಸಂಚಾರ ಸಿಬ್ಬಂದಿ
230,flagmen,traffic guards,ಧ್ವಜ ಸೂಚಕ ಪುರುಷರು,ಸಂಚಾರ ಸಿಬ್ಬಂದಿಗಳು
231,footman,servant,ಪಾದಸೇವಕ,ಸೇವಕ
232,footmen,servants,ಪಾದಸೇವಕರು,ಸೇವಕರು
233,foreman,foreperson,ಮುಖ್ಯ ಮೇಲ್ವಿಚಾರಕ,ಮುಖ್ಯ ಮೇಲ್ವಿಚಾರಣೆ ಸಿಬ್ಬಂದಿ
234,foremen,forepeople,ಮುಖ್ಯ ಮೇಲ್ವಿಚಾರಕರು,ಮುಖ್ಯ ಮೇಲ್ವಿಚಾರಣೆ ಸಿಬ್ಬಂದಿಗಳು
235,freedman,freedperson,ಮುಕ್ತನಾದ ಪುರುಷ,ಮುಕ್ತನಾದ ವ್ಯಕ್ತಿ
236,freedmen,freedpeople,ಮುಕ್ತರಾದ ಪುರುಷರು,ಮುಕ್ತರಾದ ಜನರು
237,freeman,freeperson,ಸ್ವತಂತ್ರ ಪುರುಷ,ಸ್ವತಂತ್ರ ವ್ಯಕ್ತಿ
238,freemen,freepeople,ಸ್ವತಂತ್ರ ಪುರುಷರು,ಸ್ವತಂತ್ರ ಜನರು
239,frenchman,French person,ಫ್ರೆಂಚ್ ಪುರುಷ,ಫ್ರೆಂಚ್ ವ್ಯಕ್ತಿ
240,frenchmen,French people,ಫ್ರೆಂಚ್ ಪುರುಷರು,ಫ್ರೆಂಚ್ ಜನರು
241,freshman,first-year student,ಹೊಸಬರು,ಮೊದಲ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿ
242,freshmen,first-year students,ಹೊಸಬರುಗಳು,ಮೊದಲ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿಗಳು
243,frogman,diver,ನೀರಾಳ್ತಿಯ ಪುರುಷ,ನೀರಾಳ್ತಿ
244,frogmen,divers,ನೀರಾಳ್ತಿಯ ಪುರುಷರು,ನೀರಾಳ್ತಿಗಳು
245,frontiersman,explorer,ಗಡಿನಾಡು,ಅನ್ವೇಷಕ
246,frontiersmen,explorers,ಗಡಿನಾಡಿನವರು,ಅನ್ವೇಷಕರು
247,frontman,frontperson,ಮುಖ್ಯ ಪ್ರತಿನಿಧಿ ಪುರುಷ,ಮುಖ್ಯ ಪ್ರತಿನಿಧಿ
248,frontmen,frontpeople,ಮುಖ್ಯ ಪ್ರತಿನಿಧಿ ಪುರುಷರು,ಮುಖ್ಯ ಪ್ರತಿನಿಧಿಗಳು
249,garageman,mechanic,ಗ್ಯಾರೇಜ್‌ ಕೆಲಸಗಾರ,ಯಾಂತ್ರಿಕ
250,garagemen,mechanics,ಗ್ಯಾರೇಜ್‌ ಕೆಲಸಗಾರರು,ಯಾಂತ್ರಿಕ
251,gateman,gatekeeper,ದ್ವಾರಪಾಲಕ ಪುರುಷ,ದ್ವಾರಪಾಲಕ
252,gatemen,gatekeepers,ದ್ವಾರಪಾಲಕ ಪುರುಷರು,ದ್ವಾರಪಾಲಕರು
253,gentleman,refined person,ಸಜ್ಜನ,ಸಂಸ್ಕರಿಸಿದ ವ್ಯಕ್ತಿ
254,gentlemans,refined people,ಸಜ್ಜನರು,ಸಂಸ್ಕರಿಸಿದ ಜನರು
255,gleeman,minstrel,ಗಾನಗಾರ ಪುರುಷ,ಗಾನಗಾರ
256,gleemen,minstrels,ಗಾನಗಾರ ಪುರುಷರು,ಗಾನಗಾರರು
257,glovesman,boxer,ಕೈಗವಸುಗಾರ,ಬಾಕ್ಸರ್
258,glovesmen,boxers,ಕೈಗವಸುಗಳು,ಬಾಕ್ಸರ್ಗಳು
259,groomsman,groomsperson,ವರ,ವರ
260,groomsmen,groomspeople,ಅಳಿಯಂದಿರು,ಅಳಿಯಂದಿರು
261,groundsman,groundskeeper,ಮೈದಾನದವನು,ನೆಲದಪಾಲಕ
262,groundsmen,groundskeepers,ಮೈದಾನದವರು,ನೆಲದಪಾಲಕರು
263,guardsman,guard,ಕಾವಲುಗಾರ,ಕಾವಲುಗಾರ
264,guardsmen,guards,ಕಾವಲುಗಾರರು,ಕಾವಲುಗಾರರು
265,handicraftsman,handicraftsperson,ಕರಕುಶಲಕರ್ಮಿ,ಕರಕುಶಲಕರ್ಮಿಕನು
266,handicraftsmen,handicraftspeople,ಕರಕುಶಲಕರ್ಮಿಗಳು,ಕರಕುಶಲ ಜನರು
267,hangman,executioner,ಶಿಕ್ಷೆ ನೀಡುವ ಪುರುಷ,ಶಿಕ್ಷೆ ನಿರ್ವಾಹಕ
268,hangmen,executioners,ಶಿಕ್ಷೆ ನೀಡುವ ಪುರುಷರು,ಶಿಕ್ಷೆ ನಿರ್ವಾಹಕರು
269,headman,executioner,ಮುಖ್ಯಸ್ಥ,ಮರಣದಂಡನೆಕಾರ
270,headmen,executioners,ಮುಖ್ಯಸ್ಥರು,ಮರಣದಂಡನೆಕಾರರು
271,headsman,executioner,ಮುಖ್ಯಸ್ಥ,ಮರಣದಂಡನೆಕಾರ
272,headsmen,executioners,ಮುಖ್ಯಸ್ಥರು,ಮರಣದಂಡನೆಕಾರರು
273,hitman,assassin,ಭಾಡಿಗೆ ಕೊಲೆಗಾರ,ಸಂವೇಧಕ
274,hitmen,assassins,ಭಾಡಿಗೆ ಕೊಲೆಗಾರರು,ಸಂವೇಧಕರು
275,horseman,equestrian,ಕುದುರೆ ಸವಾರ,ಕುದುರೆ ಸವಾರಿ
276,horsemen,equestrians,ಕುದುರೆ ಸವಾರರು,ಕುದುರೆ ಸವಾರರು
277,huntsman,hunter,ಬೇಟೆಗಾರ ಪುರುಷ,ಬೇಟೆಗಾರ
278,huntsmen,hunters,ಬೇಟೆಗಾರ ಪುರುಷರು,ಬೇಟೆಗಾರರು
279,iceman,ice vendor,ಹಿಮಮಾನವ,ಹಿಮ ಮಾರಾಟಗಾರ
280,icemen,ice vendors,ಹಿಮಮಾನವರು,ಹಿಮ ಮಾರಾಟಗಾರರು
281,jokerman,joker,ಹಾಸ್ಯಗಾರ ಪುರುಷ,ಹಾಸ್ಯಗಾರ
282,jokermen,jokers,ಹಾಸ್ಯಗಾರ ಪುರುಷರು,ಹಾಸ್ಯಗಾರರು
283,journeyman,artisan,ಪ್ರಯಾಣಿಕ,ಕುಶಲಕರ್ಮಿ
284,journeymen,artisans,ಪ್ರಯಾಣಿಕರು,ಕುಶಲಕರ್ಮಿಗಳು
285,kinsman,relative,ಬಂಧು,ಸಂಬಂಧಿ
286,kinsmen,relatives,ಬಂಧುಗಳು,ಸಂಬಂಧಿಕರು
287,landsman,landlubber,ಸಮುದ್ರಯಾನದಲ್ಲಿ ಅನುಭವವಿಲ್ಲದ ಪುರುಷ,ಸಮುದ್ರಯಾನದಲ್ಲಿ ಅನುಭವವಿಲ್ಲದ ವ್ಯಕ್ತಿ
288,landsmen,landlubbers,ಸಮುದ್ರಯಾನದಲ್ಲಿ ಅನುಭವವಿಲ್ಲದ ಪುರುಷರು,ಸಮುದ್ರಯಾನದಲ್ಲಿ ಅನುಭವವಿಲ್ಲದವರು
289,lawman,law officer,ಕಾನೂನುಗಾರ,ಕಾನೂನು ಅಧಿಕಾರಿ
290,lawmen,law officers,ಕಾನೂನುಗಾರರು,ಕಾನೂನು ಅಧಿಕಾರಿಗಳು
291,lensman,photographer,ಛಾಯಾಗ್ರಾಹಕ,ಛಾಯಾಗ್ರಾಹಕ
292,lensmen,photographers,ಛಾಯಾಗ್ರಾಹಕರು,ಛಾಯಾಗ್ರಾಹಕರು
293,lifeboatman,lifeboat sailor,ಉದ್ಧಾರ ದೋಣಿ ಸವಾರ ಪುರುಷ,ಉದ್ಧಾರ ದೋಣಿ ಸವಾರ
294,lifeboatmen,lifeboat sailors,ಉದ್ಧಾರ ದೋಣಿ ಸವಾರ ಪುರುಷರು,ಉದ್ಧಾರ ದೋಣಿ ಸವಾರರು
295,liftman,lift operator,ಲಿಫ್ಟ್‌ ಚಾಲನೆ ಮಾಡುವ ಪುರುಷ,ಲಿಫ್ಟ್‌ ಚಾಲಕ
296,liftmen,lift operators,ಲಿಫ್ಟ್‌ ಚಾಲನೆ ಮಾಡುವ ಪುರುಷರು,ಲಿಫ್ಟ್‌ ಚಾಲಕರು
297,lineman,lineperson,ಲೈನ್ಮ್ಯಾನ್,ಲೈನ್‌ಪರ್ಸನ್
298,linemen,linepeople,ಲೈನ್‌ಮ್ಯಾನ್‌ಗಳು,ಸಾಲು ಜನರು
299,linesman,linesperson,ರೇಖಾಗಾರ,ರೇಖೆಯ ವ್ಯಕ್ತಿ
300,linesmen,linespeople,ಲೈನ್ಸ್‌ಮೆನ್,ಲೈನ್ ಜನರು
301,lobsterman,lobster catcher,ನಳ್ಳಿ,ನಳ್ಳಿ ಹಿಡಿಯುವವನು
302,lobstermen,lobster catchers,ನಳ್ಳಿಗಳು,ನಳ್ಳಿ ಹಿಡಿಯುವವರು
303,longshoreman,dockworker,ಕರಾವಳಿ ಬಂದರು ಕೆಲಸಗಾರ ಪುರುಷ,ಬಂದರು ಕೆಲಸಗಾರ
304,longshoremen,dockworkers,ಕರಾವಳಿ ಬಂದರು ಕೆಲಸಗಾರ ಪುರುಷರು,ಬಂದರು ಕೆಲಸಗಾರರು
305,lumberman,logger,ಮರಕಡಿಯವನು,ಮರಕಡಿಯವನು
306,lumbermen,loggers,ಮರಕಡಿಯವರು,ಮರಕಡಿಯವರು
307,madman,maniac,ಹುಚ್ಚ,ಹುಚ್ಚ
308,madmen,maniacs,ಹುಚ್ಚು ಮನುಷ್ಯರು,ಹುಚ್ಚರು
309,mailman,mail carrier,ಅಂಚೆಯವನು,ಅಂಚೆವಾಹಕ
310,mailmen,mail carriers,ಅಂಚೆಯವರು,ಅಂಚೆವಾಹಕಗಳು
311,man cave,sanctuary,ಮನುಷ್ಯ ಗುಹೆ,ಅಭಯಾರಣ್ಯ
312,man caves,sanctuaries,ಮನುಷ್ಯ ಗುಹೆಗಳು,ಅಭಯಾರಣ್ಯಗಳು
313,man hater,hater,ಮನುಷ್ಯ ದ್ವೇಷಿ,ದ್ವೇಷಿ
314,man haters,haters,ಮನುಷ್ಯ ದ್ವೇಷಿಗಳು,ದ್ವೇಷಿಗಳು
315,man hating,misandry,ಪುರುಷ ದ್ವೇಷ,ಮಿಸ್ಯಾಂಡ್ರಿ
316,man hug,pound hug,ಮನುಷ್ಯ ಅಪ್ಪುಗೆ,ಪೌಂಡ್ ಅಪ್ಪುಗೆ
317,man hugs,pound hugs,ಮನುಷ್ಯ ಅಪ್ಪಿಕೊಳ್ಳುತ್ತಾನೆ,ಪೌಂಡ್ ಅಪ್ಪುಗೆಗಳು
318,man hunt,organized search,ಮನುಷ್ಯ ಬೇಟೆ,ಸಂಘಟಿತ ಹುಡುಕಾಟ
319,man hunts,organized searches,ಮನುಷ್ಯ ಬೇಟೆಯಾಡುತ್ತಾನೆ,ಸಂಘಟಿತ ಹುಡುಕಾಟಗಳು
320,man magnet,attractive person,ಮನುಷ್ಯ ಮ್ಯಾಗ್ನೆಟ್,ಆಕರ್ಷಕ ವ್ಯಕ್ತಿ
321,man magnets,attractive people,ಮನುಷ್ಯ ಆಯಸ್ಕಾಂತಗಳು,ಆಕರ್ಷಕ ಜನರು
322,man marking,marking,ಮನುಷ್ಯ ಗುರುತು,ಗುರುತು ಹಾಕುವುದು
323,man servant,servant,ಮನುಷ್ಯ ಸೇವಕ,ಸೇವಕ
324,man servants,servants,ಮನುಷ್ಯ ಸೇವಕರು,ಸೇವಕರು
325,man up,adult up,ಧೈರ್ಯ ತೋರಿಸು,ವಯಸ್ಕನಂತೆ ನಡೆ
326,man-ass,ass,ಮನುಷ್ಯ-ಕತ್ತೆ,ಕತ್ತೆ
327,man-asses,asses,ಮನುಷ್ಯ-ಕತ್ತೆಗಳು,ಕತ್ತೆಗಳು
328,man-bag,handbag,ಮನುಷ್ಯ ಚೀಲ,ಕೈಚೀಲ
329,man-bags,handbags,ಮನುಷ್ಯ ಚೀಲಗಳು,ಕೈಚೀಲಗಳು
330,man-boob,boob,ಪುರುಷ ಸ್ತನ,ಸ್ತನ
331,man-boobs,boobs,ಪುರುಷ ಸ್ತನಗಳು,ಪುರುಷ ಸ್ತನಗಳು
332,man-cave,sanctuary,ಮನುಷ್ಯ-ಗುಹೆ,ಅಭಯಾರಣ್ಯ
333,man-caves,sanctuaries,ಮಾನವ ಗುಹೆಗಳು,ಅಭಯಾರಣ್ಯಗಳು
334,man-cession,recession,ಮ್ಯಾನ್-ಸೆಶನ್,ಹಿಂಜರಿತ
335,man-cessions,recessions,ಮ್ಯಾನ್-ಸೆಷನ್ಸ್,ಹಿಂಜರಿತಗಳು
336,man-child,child,ಗಂಡು-ಮಗು,ಮಗು
337,man-childs,children,ಗಂಡು-ಮಕ್ಕಳು,ಮಕ್ಕಳು
338,man-crush,crush,ಮನುಷ್ಯ-ಮೋಹ,ಕ್ರಷ್
339,man-crushes,crushes,ಮನುಷ್ಯ-ಕ್ರಶ್ಗಳು,ಪುಡಿಮಾಡುತ್ತದೆ
340,man-eater,cannibal,ನರಭಕ್ಷಕ,ನರಭಕ್ಷಕ
341,man-eaters,cannibals,ನರಭಕ್ಷಕರು,ನರಭಕ್ಷಕರು
342,man-eating,human-eating,ನರಭಕ್ಷಕ,ಮಾನವ ತಿನ್ನುವ
343,man-friend,friend,ಮನುಷ್ಯ-ಸ್ನೇಹಿತ,ಸ್ನೇಹಿತ
344,man-friends,friends,ಮನುಷ್ಯ ಸ್ನೇಹಿತರು,ಸ್ನೇಹಿತರು
345,man-hater,hater,ಮನುಷ್ಯ ದ್ವೇಷಿ,ದ್ವೇಷಿ
346,man-haters,haters,ಮನುಷ್ಯ ದ್ವೇಷಿಗಳು,ದ್ವೇಷಿಗಳು
347,man-hating,misandry,ಮನುಷ್ಯ ದ್ವೇಷಿಸುವ,ಮಿಸ್ಯಾಂಡ್ರಿ
348,man-hatings,misandries,ಮನುಷ್ಯ-ಹೇಸ್ಟಿಂಗ್ಸ್ - ಪುರುಷ ದ್ವೇಷಗಳು,ಮಿಸಂಡ್ರಿಗಳು - ದುಷ್ಕೃತ್ಯಗಳು
349,man-hour,work-hour,ಮಾನವ-ಗಂಟೆ,ಕೆಲಸದ ಸಮಯ
350,man-hours,work-hours,ಮಾನವ-ಗಂಟೆಗಳು,ಕಾರ್ಯಗಂಟೆಗಳು
351,man-hug,pound hug,ಮನುಷ್ಯನ ಅಪ್ಪುಗೆ,ಪೌಂಡ್ ಅಪ್ಪುಗೆ
352,man-hugs,pound hugs,ಮನುಷ್ಯ-ನರ್ತನಗಳು,ಪೌಂಡ್ ಅಪ್ಪುಗೆಗಳು
353,man-hunt,organized search,ಮಾನವನ ಶೋಧ,ಸಂಘಟಿತ ಶೋಧ
354,man-hunts,organized searches,ಮಾನವನ ಶೋಧಗಳು,ಸಂಘಟಿತ ಶೋಧಗಳು
355,man-kind,humankind,ಮನುಷ್ಯ ಜಾತಿ,ಮಾನವಕುಲ
356,man-kinds,humankinds,ಮನುಷ್ಯ-ರೀತಿಯ,ಮಾನವವರ್ಗಗಳು
357,man-machine,human-computers,ಮಾನವ-ಕಂಪ್ಯೂಟರ್,ಮಾನವ-ಕಂಪ್ಯೂಟರ್‌ಗಳು
358,man-machines,human-computers,ಮಾನವ-ಯಂತ್ರಗಳು,ಮಾನವ-ಕಂಪ್ಯೂಟರ್‌ಗಳು
359,man-made,synthetic,ಮಾನವಕೃತ,ಕೃತಕ
360,man-magnet,attractive person,ಮನುಷ್ಯ-ಕಾಂತ,ಆಕರ್ಷಕ ವ್ಯಕ್ತಿ
361,man-magnets,attractive people,ಮನುಷ್ಯ-ಕಾಂತಗಳು,ಆಕರ್ಷಕ ಜನರು
362,man-mark,mark,ಮನುಷ್ಯ ಗುರುತು,ಗುರುತು
363,man-marks,marks,ಮನುಷ್ಯ ಗುರುತುಗಳು,ಗುರುತುಗಳು
364,man-marking,marking,ಮಾನವ ಗುರುತು,ಗುರುತು ಹಾಕುವುದು
365,man-markings,markings,ಪುರುಷ ಗುರುತುಗಳು,ಗುರುತುಗಳು
366,man-month,work-month,ಮಾನವ-ತಿಂಗಳು,ಕೆಲಸದ ತಿಂಗಳು
367,man-pack,pack,ಮನುಷ್ಯ-ಪ್ಯಾಕ್,ಪ್ಯಾಕ್
368,man-packs,packs,ಮನುಷ್ಯ-ಪ್ಯಾಕ್‌ಗಳು,ಪ್ಯಾಕ್‌ಗಳು
369,man-power,workforce,ಮಾನವ ಬಲ,ಕಾರ್ಯಪಡೆ
370,man-powers,workforces,ಮಾನವ ಶಕ್ತಿಗಳು,ಕಾರ್ಯಪಡೆಗಳು
371,man-rating,human-rating,ಮಾನವ-ಶ್ರೇಯಾಂಕ,ಮಾನವನ ಮೌಲ್ಯಮಾಪನ
372,man-ratings,human-ratings,ಮ್ಯಾನ್-ರೇಟಿಂಗ್‌ಗಳು,ಮಾನವನ ಮೌಲ್ಯಮಾಪನಗಳು
373,man-servant,servant,ಮನುಷ್ಯ ಸೇವಕ,ಸೇವಕ
374,man-stealing,kidnapping,ಮನುಷ್ಯ-ಕಳ್ಳತನ,ಅಪಹರಣ
375,man-stopper,stopping power,ಮನುಷ್ಯ-ತಡೆಯುವವನು,ನಿಲ್ಲಿಸುವ ಶಕ್ತಿ
376,man-stoppers,stopping powers,ಮನುಷ್ಯ-ತಡೆಯುವವರು,ನಿಲ್ಲಿಸುವ ಶಕ್ತಿಗಳು
377,man-trap,attractive person,ಮನುಷ್ಯ-ಬಲೆ,ಆಕರ್ಷಕ ವ್ಯಕ್ತಿ
378,man-traps,attractive people,ಮನುಷ್ಯ-ಬಲೆಗಳು,ಆಕರ್ಷಕ ಜನರು
379,man-up,adult up,ಮನುಷ್ಯ-ಅಪ್,ಪ್ರೌಢರಾಗಿ ವರ್ತಿಸು
380,man-whore,sex worker,ಪುರುಷ ವೇಶ್ಯೆ,ಲೈಂಗಿಕ ಕೆಲಸಗಾರ
381,man-whores,sex workers,ಪುರುಷ-ವೇಶ್ಯೆಯರು,ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತರು
382,man-year,work-year,ಮಾನವ ವರ್ಷ,ಕೆಲಸದ ವರ್ಷ
383,mancession,recession,ರಾಜಮನೆತನ,ಹಿಂಜರಿತ
384,mancessions,recessions,ರಾಜಮನೆತನಗಳು,ಹಿಂಜರಿತಗಳು
385,manfriend,friend,ಪುರುಷಸ್ನೇಹಿತ,ಸ್ನೇಹಿತ
386,manfriends,friends,ಪುರುಷಸ್ನೇಹಿತರು,ಸ್ನೇಹಿತರು
387,mankind,humankind,ಮನುಷ್ಯಕುಲ,ಮಾನವಕುಲ
388,mankinds,humankinds,ಮನುಷ್ಯಕುಲದ,ಮಾನವಕುಲಗಳು
389,manpack,pack,ಮನುಷ್ಯಕೂಟ,ಪ್ಯಾಕ್
390,manpacks,packs,ಮ್ಯಾನ್‌ಪ್ಯಾಕ್‌ಗಳು,ಪ್ಯಾಕ್‌ಗಳು
391,manpower,workforce,ಮನುಷ್ಯಶಕ್ತಿ,ಕಾರ್ಯಪಡೆ
392,manpowers,workforces,ಮನುಷ್ಯಶಕ್ತಿಗಳು,ಕಾರ್ಯಪಡೆಗಳು
393,manstealing,kidnapping,ಮನುಷ್ಯ ಕಳ್ಳತನ,ಅಪಹರಣ
394,manstopper,stopping power,ಮನುಷ್ಯನ ತಡೆ,ಅಧಿಕಾರವನ್ನು ನಿಲ್ಲಿಸುವುದು
395,manstoppers,stopping powers,ಮನುಷ್ಯನ ತಡೆ,ಅಧಿಕಾರಗಳನ್ನು ನಿಲ್ಲಿಸುವುದು
396,marksman,sharpshooter,ಗುರಿಗಾರರು,ತೀಕ್ಷ್ಣಶೂಟರ್
397,marksmen,sharpshooters,ಗುರಿಗಾರರು,ತೀಕ್ಷ್ಣಶೂಟರ್‌ರು
398,merchantman,merchant,ವ್ಯಾಪಾರಿ,ವ್ಯಾಪಾರಿ
399,merchantmen,merchants,ವ್ಯಾಪಾರಿಗಳು,ವ್ಯಾಪಾರಿಗಳು
400,merman,merperson,ಮೀನಿನ ಮಾನವ,ಮೀನಿನ ವ್ಯಕ್ತಿ
401,mermen,merpeople,ಮೀನಿನ ಮಾನವರು,ಮೀನಿನ ಜನರು
402,midshipman,naval officer,ನೌಕಾಪಡೆ ಲೆಫ್ಟಿನಂಟ್,ನೌಕಾ ಅಧಿಕಾರಿ
403,midshipmen,naval officers,ನೌಕಾಪಡೆ ಲೆಫ್ಟಿನಂಟ್‌ರು,ನೌಕಾ ಅಧಿಕಾರಿಗಳು
404,militiaman,militia member,ಸೈನಿಕರು,ಮಿಲಿಟಿಯ ಸದಸ್ಯ
405,militiamen,militia members,ಸೈನಿಕರು,ಮಿಲಿಟಿಯ ಸದಸ್ಯರು
406,minuteman,soldier,ನಿಮಿಷದ ವ್ಯಕ್ತಿ,ಸೈನಿಕ
407,minutemen,soldiers,ನಿಮಿಷದವರು,ಸೈನಿಕರು
408,motorman,operator,ಯಂತ್ರಚಾಲಕ,ಆಪರೇಟರ್
409,motormen,operators,ಯಂತ್ರಚಾಲಕರು,ನಿರ್ವಾಹಕರು
410,newsman,reporter,ಸುದ್ದಿಗಾರ,ವರದಿಗಾರ
411,newsmen,reporters,ಸುದ್ದಿಗಾರರು,ವರದಿಗಾರರು
412,newspaperman,journalist,ಪತ್ರಿಕೆಗಾರ,ಪತ್ರಕರ್ತ - ಪತ್ರಿಕೋದ್ಯಮಿ
413,newspapermen,journalists,ಸಮಾಚಾರ ಪತ್ರಕರ್ತರು,ಪತ್ರಕರ್ತರು
414,nightwatchman,nightwatchbatter,ರಾತ್ರಿ ರಕ್ಷಕ,ನೈಟ್ ವಾಚ್ ಬ್ಯಾಟರ್
415,nightwatchmen,nightwatchbatters,ರಾತ್ರಿ ರಕ್ಷಕರು,ರಾತ್ರಿ ವಾಚ್ ಬ್ಯಾಟರ್ಸ್
416,nobleman,noble person,ಶ್ರೇಷ್ಠ ವ್ಯಕ್ತಿ,ಉದಾತ್ತ ವ್ಯಕ್ತಿ
417,noblemans,noble people,ಶ್ರೇಷ್ಠ ವ್ಯಕ್ತಿಗಳು,ಉದಾತ್ತ ಜನರು
418,oarsman,rower,ಹಡಗಿನ ಪರಿಕರ ಚಾಲಕ,ಹೊಡೆತಗಾರ
419,oarsmen,rowers,ಹಡಗಿನ ಪರಿಕರ ಚಾಲಕರು,ಹೊಡೆತಗಾರರು
420,ombudsman,ombudsperson,ನ್ಯಾಯ ನಿರೀಕ್ಷಕ,ಸಾರ್ವಜನಿಕ ತನಿಖಾಧಿಕಾರಿ
421,ombudsmen,ombudspeople,ನ್ಯಾಯ ನಿರೀಕ್ಷಕರು,ಸಾರ್ವಜನಿಕ ತನಿಖಾಧಿಕಾರಿಗಳು
422,overman,Ã¼bermensch,ಮೇಲ್ವಿಚಾರ,ಎಬರ್ಮೆನ್ಷ್
423,overmen,Ã¼bermenschen,ಮೇಲ್ವಿಚಾರಕರು,ಎಬರ್ಮೆನ್ಸ್ಚೆನ್
424,oysterman,oysterperson,ಸಿಪ್ಪಿ ಮೀನುಗಾರ,ಸಿಂಪಿ ವ್ಯಕ್ತಿ
425,oystermen,oysterpeople,ಸಿಪ್ಪಿ ಮೀನುಗಾರರು,ಸಿಂಪಿ ಜನರು
426,packetman,packet sailor,ಪ್ಯಾಕೆಟ್ಮ್ಯಾನ್,ಪ್ಯಾಕೆಟ್ ನಾವಿಕ
427,packetmen,packet sailors,ಪ್ಯಾಕೆಟ್‌ಮೆನ್,ಪ್ಯಾಕೆಟ್ ನಾವಿಕರು
428,packman,seller,ಪ್ಯಾಕ್ ಮ್ಯಾನ್,ಮಾರಾಟಗಾರ
429,packmen,sellers,ಪ್ಯಾಕ್‌ಮೆನ್,ಮಾರಾಟಗಾರರು
430,pieman,pie vendor,pman,ಪೈ ವ್ಯಾಪಾರಿಗಳು
431,piemen,pie vendors,piemen,ಪೈ ಮಾರಾಟಗಾರರು
432,pitchman,pitcher,ಪಿಚ್ಮ್ಯಾನ್,ಪಿಚರ್
433,pitchmen,pitchers,ಪಿಚ್‌ಮೆನ್,ಹೂಜಿಗಳು
434,placeman,appointee,ಸ್ಥಾನಿಕ  -ಸ್ಥಳಾಧಿಕಾರಿ,ನೇಮಕಗೊಂಡವರು
435,placemen,appointees,ಉದ್ಯೋಗದಾತರು,ನೇಮಕಗೊಂಡವರು
436,ploughman,plower,ಉಳುವವ,ಉಳುಮೆಗಾರ
437,ploughmen,plowers,ಉಳುಮೆ ಮಾಡುವವರು,ಉಳುಮೆಗಾರರು
438,plowman,plower,ಉಳುವವ - ನೇಗಿಲುಗಾರ,ಉಳುಮೆಗಾರ - ಉಳುವವನು
439,plowmen,plowers,ಉಳುವವರು,ಉಳುಮೆಗಾರರು
440,pointsman,traffic officer,ಪಾಯಿಂಟ್ ಮ್ಯಾನ್,ಸಂಚಾರ ಅಧಿಕಾರಿ
441,pointsmen,traffic officers,ಅಂಕಗಳು,ಸಂಚಾರ ಅಧಿಕಾರಿಗಳು
442,policeman,police officer,ಪೊಲೀಸ್,ಪೊಲೀಸ್ ಅಧಿಕಾರಿ
443,policemen,police officers,ಪೊಲೀಸರು,ಪೊಲೀಸ್ ಅಧಿಕಾರಿಗಳು
444,postman,mail carrier,ಅಂಚೆಯವ,ಅಂಚೆ ವಾಹಕ
445,postmen,mail carriers,ಪೋಸ್ಟ್ಮ್ಯಾನ್ಗಳು,ಅಂಚೆ ವಾಹಕಗಳು
446,pressman,printer,ಪತ್ರಿಕಾಗಾರ,ಮುದ್ರಕ
447,pressmen,printers,ಪತ್ರಿಕಾ ಸಿಬ್ಬಂದಿ,ಮುದ್ರಕಗಳು
448,Prostitute,Sexworker,ವೇಶ್ಯೆ,ಲೈಂಗಿಕ ಕೆಲಸಗಾರ
449,prman,press agent,ಪುರಾವೆ,ಪತ್ರಿಕಾ ಏಜೆಂಟ್
450,prmen,press agents,ಪ್ರಮೆನ್,ಪತ್ರಿಕಾ ಏಜೆಂಟ್
451,rubberman,latex fetishist,ಲವಚ್ಯಮಾನವ,ಲ್ಯಾಟೆಕ್ಸ್ ಫೆಟಿಶಿಸ್ಟ್
452,rubbermen,latex fetishists,ರಬ್ಬರ್‌ಮೆನ್,ಲ್ಯಾಟೆಕ್ಸ್ ಫೆಟಿಶಿಸ್ಟ್ಗಳು
453,seaman,sailor,ನಾವಿಕರು,ನಾವಿಕ
454,seamen,sailors,ನಾವಿಕರು,ನಾವಿಕರು
455,seedsman,seeds dealer,ಬೀಜಗಾರ - ವರ್ತಕ,ಬೀಜ ವ್ಯಾಪಾರಿ
456,seedsmen,seeds dealers,ಬೀಜಗಳು,ಬೀಜ ವಿತರಕರು
457,selectman,member of the board,ಆಯ್ಕೆಗಾರ - ಆಯ್ಕೆಯ ಸದಸ್ಯ,ಮಂಡಳಿಯ ಸದಸ್ಯ
458,selectmen,members of the board,ಆಯ್ಕೆಗಾರರು,ಮಂಡಳಿಯ ಸದಸ್ಯರು
459,serviceman,service member,ಸೇವಾಕರ್ಮಿ,ಸೇವಾ ಸದಸ್ಯ
460,servicemen,service members,ಸೈನಿಕರು,ಸೇವಾ ಸದಸ್ಯರು
