Pair ID,Original Terms,Inclusive Terms,Original Terms (Tamil),Corrected Translation(Inclusive Terms)
340,man-eater,cannibal,மனித உண்பவன்,நரமாமிச உண்ணி
341,man-eaters,cannibals,மனித உண்பவர்கள்,நரமாமிச உண்ணிகள்
342,man-eating,human-eating,மனிதனை உண்ணும்,நரமாமிசம் உண்ணும்
343,man-friend,friend,மனிதன் நண்பன்,நண்பர் / தோழர்
344,man-friends,friends,மனிதன் நண்பர்கள்,நண்பர்கள் / தோழர்கள்
345,man-hater,hater,மனிதன் வெறுப்பவன்,வெறுப்பவர்
346,man-haters,haters,மனித வெறுப்பாளர்கள்,வெறுப்பவர்கள்
347,man-hating,misandry,மனித வெறுப்பு,ஆண் வெறுப்பு
348,man-hatings,misandries,மனிதன்-வேதனைகள்,ஆண் வெறுப்பு
349,man-hour,work-hour,மனித மணிநேரம்,பணி-நேரம்
350,man-hours,work-hours,மனித மணிநேரம்,பணி-நேரங்கள்
351,man-hug,pound hug,மனிதன்-அணைத்தல்,தோழமை அணைப்பு
352,man-hugs,pound hugs,மனிதன்-அணைப்புகள்,தோழமை அணைப்புகள்
353,man-hunt,organized search,மனித வேட்டை,பெரும் தேடுதல் வேட்டை
354,man-hunts,organized searches,மனித வேட்டை,பெரும் தேடுதல் வேட்டைகள்
355,man-kind,humankind,மனித இனம்,மனித இனம்
356,man-kinds,humankinds,மனித இனங்கள்,மனித இனங்கள்
357,man-machine,human-computer,மனிதன் இயந்திரம்,மனித-கணினி
358,man-machines,human-computers,மனித இயந்திரங்கள்,மனித-கணினிகள்
359,man-made,synthetic,மனிதனால் உருவாக்கப்பட்ட,செயற்கையான
360,man-magnet,attractive person,மனிதன்-காந்தம்,கவர்ச்சிகரமான நபர்
361,man-magnets,attractive people,மனிதன்-காந்தங்கள்,கவர்ச்சிகரமான மக்கள்
362,man-mark,mark,மனிதன்-குறி,கண்காணி
363,man-marks,marks,மனித அடையாளங்கள்,கண்காணிக்கவும்
364,man-marking,marking,மனிதன்-குறித்தல்,கண்காணித்தல் (விளையாட்டு)
365,man-markings,markings,மனித அடையாளங்கள்,கண்காணிப்புகள் (விளையாட்டு)
366,man-month,work-month,மனிதன்-மாதம்,பணி-மாதம்
367,man-pack,pack,மனிதன்-பேக்,பொதி / சுமைப்பை
368,man-packs,packs,மனிதன் பொதிகள்,பொதிகள் / சுமைப்பைகள்
369,man-power,workforce,மனித சக்தி,பணியாளர் சக்தி / தொழிலாளர்
370,man-powers,workforces,மனித சக்திகள்,பணியாளர் சக்திகள் / தொழிலாளர்கள்
371,man-rating,human-rating,மனிதன் மதிப்பீடு,மனித மதிப்பீடு
372,man-ratings,human-ratings,மனித மதிப்பீடுகள்,மனித மதிப்பீடுகள்
373,man-servant,servant,மனிதன்-வேலைக்காரன்,வேலையாள் / பணியாளர்
374,man-stealing,kidnapping,மனிதன்-திருடுதல்,ஆள் கடத்தல்
375,man-stopper,stopping power,மனிதன்-தடுப்பான்,தடுக்கும் திறன் (ஆயுதம்)
376,man-stoppers,stopping powers,மனிதன்-தடுப்பான்கள்,தடுக்கும் திறன்கள் (ஆயுதம்)
377,man-trap,attractive person,மனித பொறி,கவர்ச்சிகரமான நபர்
378,man-traps,attractive people,மனித பொறிகள்,கவர்ச்சிகரமான மக்கள்
379,man-up,adult up,மனிதன்-அப்,தைரியமாக இரு / பொறுப்பெடு
380,man-whore,sex worker,ஆண்-வேசி,பாலியல் தொழிலாளி
381,man-whores,sex workers,ஆண்-வேசிகள்,பாலியல் தொழிலாளர்கள்
382,man-year,work-year,மனிதன் ஆண்டு,பணி-ஆண்டு
383,mancession,recession,மாளிகை,பொருளாதார மந்தநிலை
384,mancessions,recessions,மாளிகைகள்,பொருளாதார மந்தநிலைகள்
385,manfriend,friend,ஆண் நண்பன்,நண்பர்
386,manfriends,friends,ஆண் நண்பர்கள்,நண்பர்கள்
387,mankind,humankind,மனிதகுலம்,மனித இனம்
388,mankinds,humankinds,மனிதகுலத்தின்,மனித இனங்கள்
389,manpack,pack,மேன்பேக்,பொதி / சுமைப்பை
390,manpacks,packs,மேன்பேக்குகள்,பொதிகள் / சுமைப்பைகள்
391,manpower,workforce,மனிதவளம்,பணியாளர் சக்தி / தொழிலாளர்
392,manpowers,workforces,மனிதவளம்,பணியாளர் சக்திகள் / தொழிலாளர்கள்
393,manstealing,kidnapping,திருடுதல்,ஆள் கடத்தல்
394,manstopper,stopping power,மான்ஸ்டாப்பர்,தடுக்கும் திறன் (ஆயுதம்)
395,manstoppers,stopping powers,மான்ஸ்டாப்பர்கள்,தடுக்கும் திறன்கள் (ஆயுதம்)
396,marksman,sharpshooter,துப்பாக்கி சுடும் வீரர்,குறி பார்த்து சுடுபவர்
397,marksmen,sharpshooters,குறிபார்ப்பவர்கள்,குறி பார்த்து சுடுபவர்கள்
398,merchantman,merchant,வணிகர்,வணிகர்
399,merchantmen,merchants,வணிகர்கள்,வணிகர்கள்
400,merman,merperson,கடல் மீன்,கடல் நபர் / கடற்கன்னி (பொது)
401,mermen,merpeople,கடல் மீன்,கடல் நபர்கள் / கடற்கன்னிகள் (பொது)
402,midshipman,naval officer,மிட்ஷிப்மேன்,கடற்படை அதிகாரி
403,midshipmen,naval officers,நடுநிலை பணியாளர்கள்,கடற்படை அதிகாரிகள்
404,militiaman,militia member,போராளி,போராளிக் குழு உறுப்பினர்
405,militiamen,militia members,போராளிகள்,போராளிக் குழு உறுப்பினர்கள்
406,minuteman,soldier,மினிட்மேன்,படை வீரர்
407,minutemen,soldiers,நிமிட மனிதர்கள்,படை வீரர்கள்
408,motorman,operator,மோட்டர்மேன்,இயக்குபவர்
409,motormen,operators,மோட்டர்மேன்,இயக்குபவர்கள்
410,newsman,reporter,செய்தியாளர்,நிருபர்
411,newsmen,reporters,செய்தியாளர்கள்,நிருபர்கள்
412,newspaperman,journalist,பத்திரிகையாளர்,பத்திரிகையாளர்
413,newspapermen,journalists,பத்திரிகையாளர்கள்,பத்திரிகையாளர்கள்
414,nightwatchman,nightwatchbatter,இரவுக் காவலாளி,இரவுக் காவலர் (கிரிக்கெட்)
415,nightwatchmen,nightwatchbatters,இரவு காவலாளி,இரவுக் காவலர்கள் (கிரிக்கெட்)
416,nobleman,noble person,பிரபு,உயர்குடி நபர்
417,noblemans,noble people,பிரபுக்களின்,உயர்குடி மக்கள்
418,oarsman,rower,மற்ற மனிதன்,துடுப்புப் போடுபவர்
419,oarsmen,rowers,மற்றவர்கள்,துடுப்புப் போடுபவர்கள்
420,ombudsman,ombudsperson,ஒம்புட்ஸ்மேன்,குறை தீர்ப்பாளர்
421,ombudsmen,ombudspeople,குறைதீர்ப்பாளர்கள்,குறை தீர்ப்பாளர்கள்
422,overman,Ã¼bermensch,ஓவர்மேன்,மீமனிதர்
423,overmen,Ã¼bermenschen,எடுத்துக்கொள்,மீமனிதர்கள்
424,oysterman,oysterperson,சிப்பி,சிப்பி சேகரிப்பவர்
425,oystermen,oysterpeople,சிப்பிகள்,சிப்பி சேகரிப்பவர்கள்
426,packetman,packet sailor,பாக்கெட்மேன்,பார்சல் படகு மாலுமி
427,packetmen,packet sailors,பாக்கெட்மேன்கள்,பார்சல் படகு மாலுமிகள்
428,packman,seller,பேக்மேன்,விற்பனையாளர்
429,packmen,sellers,பேக்மேன்கள்,விற்பனையாளர்கள்
430,pieman,pie vendor,PMN,அப்பம் விற்பனையாளர்
431,piemen,pie vendors,மேய்ப்பன்,அப்பம் விற்பனையாளர்கள்
432,pitchman,pitcher,பிட்ச்மேன்,பந்து வீசுபவர் / விற்பனைப் பேச்சாளர்
433,pitchmen,pitchers,பிட்ச்மேன்கள்,பந்து வீசுபவர்கள் / விற்பனைப் பேச்சாளர்கள்
434,placeman,appointee,இடம்பிடித்தவர்,நியமனம் பெறுபவர்
435,placemen,appointees,இடம்பிடித்தவர்கள்,நியமனம் பெறுபவர்கள்
436,ploughman,plower,உழவன்,உழுபவர்
437,ploughmen,plowers,உழவர்கள்,உழுபவர்கள்
438,plowman,plower,உழவன்,உழுபவர்
439,plowmen,plowers,உழவர்கள்,உழுபவர்கள்
440,pointsman,traffic officer,புள்ளிமான்,போக்குவரத்து அதிகாரி
441,pointsmen,traffic officers,புள்ளிகள்,போக்குவரத்து அதிகாரிகள்
442,policeman,police officer,போலீஸ்காரர்,காவல் அதிகாரி
443,policemen,police officers,போலீஸ்காரர்கள்,காவல் அதிகாரிகள்
444,postman,mail carrier,தபால்காரர்,அஞ்சல்காரர் / தபால்காரர்
445,postmen,mail carriers,தபால்காரர்கள்,அஞ்சல்காரர்கள் / தபால்காரர்கள்
446,pressman,printer,பத்திரிகையாளர்,அச்சிடுபவர்
447,pressmen,printers,பத்திரிகையாளர்கள்,அச்சிடுபவர்கள்
448,Prostitute,Sexworker,விபச்சாரி,பாலியல் தொழிலாளி
449,prman,press agent,ஆதாரம்,பத்திரிகை முகவர்
450,prmen,press agents,prmen,பத்திரிகை முகவர்கள்
451,rubberman,latex fetishist,ரப்பர்மேன்,லேடெக்ஸ் பொருள் விரும்பி
452,rubbermen,latex fetishists,ரப்பர்மேன்கள்,லேடெக்ஸ் பொருள் விரும்பிகள்
453,seaman,sailor,கடலோடி,மாலுமி
454,seamen,sailors,கடற்படையினர்,மாலுமிகள்
455,seedsman,seeds dealer,விதைத்தவர்,விதை விற்பனையாளர்
456,seedsmen,seeds dealers,விதைகள்,விதை விற்பனையாளர்கள்
457,selectman,member of the board,தேர்வாளர்,ஆட்சிக் குழு உறுப்பினர்
458,selectmen,members of the board,தேர்வாளர்கள்,ஆட்சிக் குழு உறுப்பினர்கள்
459,serviceman,service member,சேவையாளர்,படை வீரர் / சேவை உறுப்பினர்
460,servicemen,service members,சேவையாளர்கள்,படை வீரர்கள் / சேவை உறுப்பினர்கள்
461,she-man,feminine person,அவள்-மனிதன்,பெண்மை இயல்புடைய நபர்
462,she-men,feminine people,அவள்-ஆண்கள்,பெண்மை இயல்புடைய நபர்கள்
463,sheepman,shepherd,செம்மறியாடு,ஆடு மேய்ப்பவர்
464,sheepmen,shepherds,செம்மறியாடுகள்,ஆடு மேய்ப்பவர்கள்
465,showman,showperson,ஷோமேன்,நிகழ்ச்சியாளர்
466,showmen,showpeople,காட்டுபவர்கள்,நிகழ்ச்சியாளர்கள்
467,sideman,side artist,பக்கத்துக்காரர்,துணை நடிகர் / துணை இசைக் கலைஞர்
468,sidemen,side artists,பக்கத்திலுள்ளவர்கள்,துணை நடிகர்கள் / துணை இசைக் கலைஞர்கள்
469,slaughterman,butcher,படுகொலை செய்பவன்,கசாப்புக் கடைக்காரர்
470,slaughtermen,butchers,படுகொலை செய்பவர்கள்,கசாப்புக் கடைக்காரர்கள்
471,snowman,snowperson,பனிமனிதன்,பனி உருவம்
472,snowmen,snowpeople,பனிமனிதர்கள்,பனி உருவங்கள்
473,soundman,audio engineer,ஒலிப்பாளர்,ஒலிப் பொறியாளர்
474,soundmen,audio engineers,ஒலி எழுப்புபவர்கள்,ஒலிப் பொறியாளர்கள்
475,spaceman,astronaut,விண்வெளி வீரர்,விண்வெளி வீரர்
476,spacemen,astronauts,விண்வெளி வீரர்கள்,விண்வெளி வீரர்கள்
477,spearfisherman,spearfisher,ஈட்டி மீனவர்,ஈட்டி மீன்பிடிப்பவர்
478,spearfishermen,spearfishers,ஈட்டி மீனவர்கள்,ஈட்டி மீன்பிடிப்பவர்கள்
479,spearman,lancer,ஈட்டி வீரர்,ஈட்டிப் படை வீரர்
480,spearmen,lancers,ஈட்டி வீரர்கள்,ஈட்டிப் படை வீரர்கள்
481,spokeman,spokeperson,பேச்சாளர்,செய்தித் தொடர்பாளர்
482,spokemen,spokepeople,பேச்சாளர்கள்,செய்தித் தொடர்பாளர்கள்
483,spokesman,spokesperson,பேச்சாளர்,செய்தித் தொடர்பாளர்
484,spokesmen,spokespeople,பேச்சாளர்கள்,செய்தித் தொடர்பாளர்கள்
485,sportsman,athlete,விளையாட்டு வீரர்,தடகள வீரர் / விளையாட்டு வீரர்
486,sportsmen,athletes,விளையாட்டு வீரர்கள்,தடகள வீரர்கள் / விளையாட்டு வீரர்கள்
487,statesman,statesperson,அரசியல்வாதி,அரசியல் தலைவர் / அறிஞர்
488,statesmen,statespeople,அரசியல்வாதிகள்,அரசியல் தலைவர்கள் / அறிஞர்கள்
489,stickman,stick figure,ஒட்டுபவர்,குச்சி ஓவியம்
490,stickmen,stick figures,ஒட்டுபவர்கள்,குச்சி ஓவியங்கள்
491,stockman,stock farmer,பங்குதாரர்,கால்நடை வளர்ப்பவர்
492,stockmen,stock farmers,பங்குதாரர்கள்,கால்நடை வளர்ப்பவர்கள்
493,storeman,warehouser,பெரிய மனிதர்,கிடங்குப் பணியாளர்
494,storemen,warehousers,கடைக்காரர்கள்,கிடங்குப் பணியாளர்கள்
495,strongman,strong person,வலிமையானவன்,வலுவான நபர்
496,strongmen,strong people,வலிமையானவர்கள்,வலுவான மக்கள்
497,sub-man,inferior human,துணை மனிதன்,கீழ்நிலை மனிதர்
498,sub-men,inferior humans,துணை ஆண்கள்,கீழ்நிலை மனிதர்கள்
499,superman,superhero,சூப்பர்மேன்,மீநாயகர் / சூப்பர் ஹீரோ
500,supermen,superheroes,சூப்பர்மேன்,மீநாயகர்கள் / சூப்பர் ஹீரோக்கள்
501,swagman,transient labourer,வரவேற்கிறோம்,நாடோடித் தொழிலாளி
502,swagmen,transient labourers,ஸ்வாக்,நாடோடித் தொழிலாளிகள்
503,swingman,versatile athlete,ஊஞ்சல்காரன்,பல்துறை விளையாட்டு வீரர்
504,swingmen,versatile athletes,ஊஞ்சல் ஆடுபவர்கள்,பல்துறை விளையாட்டு வீரர்கள்
505,switchman,railroad worker,சுவிட்ச்மேன்,தண்டவாளப் பணியாளர்
506,switchmen,railroad workers,மாறுபவர்கள்,தண்டவாளப் பணியாளர்கள்
507,swordman,fencer,வாள்வீரன்,வாள் வீச்சு வீரர்
508,swordmen,fencers,வாள்வீரன்,வாள் வீச்சு வீரர்கள்
509,swordsman,fencer,வாள்வீரன்,வாள் வீச்சு வீரர்
510,swordsmen,fencers,வாள்வீரர்கள்,வாள் வீச்சு வீரர்கள்
511,targetman,forward,இலக்குவன்,முன்கள வீரர் (விளையாட்டு)
512,targetmen,forwards,இலக்கு ஆட்கள்,முன்கள வீரர்கள் (விளையாட்டு)
513,taxman,tax collector,வரி செலுத்துபவர்,வரி வசூலிப்பாளர்
514,taxmen,tax collectors,வரி செலுத்துபவர்கள்,வரி வசூலிப்பாளர்கள்
515,townsman,townsperson,நகரவாசி,நகரவாசி
516,townsmen,townspeople,நகரவாசிகள்,நகரவாசிகள்
517,tribesman,tribesperson,பழங்குடியினர்,பழங்குடி நபர்
518,tribesmen,tribespeople,பழங்குடியினர்,பழங்குடி மக்கள்
519,triggerman,hired gun,தூண்டுபவர்,கூலிப்படையாள்
520,triggermen,hired guns,தூண்டுபவர்கள்,கூலிப்படையினர்
521,underclassman,undergraduate,தாழ்த்தப்பட்டவர்,இளங்கலைப் பட்டதாரி
522,underclassmen,undergraduates,தாழ்த்தப்பட்ட வகுப்பினர்,இளங்கலைப் பட்டதாரிகள்
523,upperclassman,student,மேல் வகுப்புக்காரர்,மாணவர் (மூத்த வகுப்பு)
524,upperclassmen,students,மேல் வகுப்பினர்,மாணவர்கள் (மூத்த வகுப்பு)
525,warehouseman,warehouse worker,கிடங்குக்காரர்,கிடங்குத் தொழிலாளி
526,warehousemen,warehouse workers,கிடங்குக்காரர்கள்,கிடங்குத் தொழிலாளிகள்
527,washerman,washer,சலவை செய்பவர்,சலவை செய்பவர்
528,washermen,washers,துவைப்பவர்கள்,சலவை செய்பவர்கள்
529,watchman,watcher,காவலாளி,கண்காணிப்பாளர்
530,watchmen,watchers,காவலாளிகள்,கண்காணிப்பாளர்கள்
531,weatherman,weather forecaster,வானிலையாளர்,வானிலை முன்னறிவிப்பாளர்
532,weathermen,weather forecasters,வானிலை நிபுணர்கள்,வானிலை முன்னறிவிப்பாளர்கள்
533,wheelman,driver,வீல்மேன்,ஓட்டுநர்
534,wheelmen,drivers,வீல்மேன்கள்,ஓட்டுநர்கள்
535,whiteman,white person,வெள்ளைக்காரன்,வெள்ளை இனத்தவர்
536,whitemen,white people,வெள்ளைக்காரர்கள்,வெள்ளை இன மக்கள்
537,wildman,wild person,காட்டுமனிதன்,கட்டுப்பாடற்ற நபர்
538,wildmen,wild people,காட்டு மனிதர்கள்,கட்டுப்பாடற்ற நபர்கள்
539,winchman,rescue swimmer,வெற்றியாளர்,மீட்பு நீச்சல் வீரர்
540,winchmen,rescue swimmers,வெற்றியாளர்கள்,மீட்பு நீச்சல் வீரர்கள்
541,wingman,pilot partner,இறக்கைக்காரர்,துணை விமானி
542,wingmen,pilot partners,இறக்கையாளர்கள்,துணை விமானிகள்
543,woodman,woodworker,மரக்காரன்,மரவேலை செய்பவர்
544,woodmen,woodworkers,மரக்காரர்கள்,மரவேலை செய்பவர்கள்
545,woodsman,forester,மரக்காரி,கானக அலுவலர்/ வனவர்
546,woodsmen,foresters,மரக்காரர்கள்,கானக அலுவலர்கள் / வனவர்கள்
547,workingman,worker,தொழிலாளி,தொழிலாளி
548,workingmen,workers,தொழிலாளிகள்,தொழிலாளிகள்
549,workman,worker,தொழிலாளி,தொழிலாளி
550,workmen,workers,வேலையாட்கள்,தொழிலாளிகள்
551,yeoman,officer,யோமன்,அதிகாரி
552,yeomen,officers,ஏமன்,அதிகாரிகள்
553,airmanship,aerial skill,விமானப்படை,விமானத் திறன்
554,airmanships,aerial skills,விமானப்படைகள்,விமானத் திறன்கள்
555,batsmanship,batting skill,பேட்ஸ்மேன்ஷிப்,மட்டையாடும் திறமை
556,batsmanships,batting skills,பேட்ஸ்மேன்ஷிப்கள்,மட்டையாடும் திறமைகள்
557,brinkmanship,extreme strategy,கசப்பான தன்மை,தீவிர உத்தி
558,brinkmanships,extreme strategies,குறுக்கிடுதல்,தீவிர உத்திகள்
559,brinksmanship,extreme strategy,கசப்பான தன்மை,தீவிர உத்தி
560,brinksmanships,extreme strategies,வெறித்தனமான செயல்கள்,தீவிர உத்திகள்
561,chairmanship,chairpersonship,தலைவர்,தலைவர் பதவி
562,chairmanships,chairpersonships,தலைவர்கள்,தலைவர் பதவிகள்
563,churchmanshipsÂ,churchpersonships,சர்ச்மேன்ஷிப்ஸ்,தேவாலய ஆளுமைகள்
564,churchmanshipÂ,churchpersonship,தேவாலயம்,திருச்சபை ஆளுமை
565,craftmanship,craftpersonship,கைவினைத்திறன்,கைவினைத்திறன்
566,craftmanships,craftpersonships,கைவினைத்திறன்,கைவினைத்திறன்கள்
567,craftsmanship,craftspersonship,கைவினைத்திறன்,கைவினைத்திறன்
568,craftsmanships,craftspersonships,கைவினைத்திறன்கள்,கைவினைத்திறன்கள்
569,draftsmanship,draftspersonship,வரைவுத் திறன்,வரைவாளர் திறமை
570,draftsmanships,draftspersonships,வரைவுகள்,வரைவாளர் திறமைகள்
571,draughtsmanship,draughtspersonship,வரைவுத் திறன்,வரைவாளர் திறமை
572,draughtsmanships,draughtspersonships,வரைவுகள்,வரைவாளர் திறமைகள்
573,foremanship,forepersonship,முன்னோடி,மேற்பார்வையாளர் பதவி
574,foremanships,forepersonships,formanships,மேற்பார்வையாளர் பதவிகள்
575,gamesmanship,unsporting tactic,விளையாட்டுத்திறன்,விளையாட்டு நெறியற்ற உத்தி
576,gamesmanships,unsporting tactics,விளையாட்டு திறமைகள்,விளையாட்டு நெறியற்ற உத்திகள்
577,gentlemanship,refinedness,கண்ணியம்,பண்புடைமை
578,gentlemanships,refinednesses,பண்புள்ளவர்கள்,பண்புடைமை
579,grantsmanship,grant acquisition expertise,மானியம்,நன்கொடை பெறும் திறமை
580,grantsmanships,grant acquisition expertises,மானியங்கள்,நன்கொடை பெறும் திறமைகள்
581,handcraftsmanship,handcraftspersonship,கைவினைத்திறன்,கைவினைத்திறன்
582,handcraftsmanships,handcraftspersonships,கைவினைத்திறன்கள்,கைவினைத்திறன்கள்
583,horsemanship,equestrian skill,குதிரையேற்றம்,குதிரையேற்றத் திறமை
584,horsemanships,equestrian skills,குதிரையேற்றம்,குதிரையேற்றத் திறமைகள்
585,journeymanship,artisanship,பயணத்திறன்,கைவினைத்திறன்
586,journeymanships,artisanships,பயணத்திறன்,கைவினைத்திறன்கள்
587,manship,courage,ஆண்மை,துணிச்சல்
588,manships,courages,மேன்ஷிப்கள்,துணிச்சல்கள்
589,marksmanship,sharpshooting skill,குறிபார்க்கும் திறன்,குறி பார்த்து சுடும் திறமை
590,marksmanships,sharpshooting skills,துப்பாக்கி சுடும் திறன்கள்,குறி பார்த்து சுடும் திறமைகள்
591,oarsmanship,rowing skill,துடுப்புத் திறன்,துடுப்புப் போடும் திறமை
592,oarsmanships,rowing skills,துடுப்புகள்,துடுப்புப் போடும் திறமைகள்
593,penmanship,calligraphy,எழுத்தாற்றல்,கையெழுத்துக் கலை
594,penmanships,calligraphies,எழுத்தாணிகள்,கையெழுத்துக் கலைகள்
595,salesmanship,selling skill,விற்பனைத் திறன்,விற்பனைத் திறமை
596,salesmanships,selling skills,விற்பனைத் திறன்,விற்பனைத் திறமைகள்
597,seamanship,marine skill,கடற்தொழில்,கடல்சார் திறமை
598,seamanships,marine skills,கடற்புலிகள்,கடல்சார் திறமைகள்
599,showmanship,performing skill,வெளிகாட்டல்,நிகழ்த்துத் திறமை
600,showmanships,performing skills,நிகழ்ச்சிகள்,நிகழ்த்துத் திறமைகள்
601,sportsmanship,athletic skill,விளையாட்டுத்திறன்,தடகள விளையாட்டுத் திறமை
602,sportsmanships,athletic skills,விளையாட்டு திறமைகள்,தடகள விளையாட்டுத் திறமைகள்
603,statesmanship,public management skill,அரசாட்சி,பொது மேலாண்மைத் திறன்
604,statesmanships,public management skills,அரசாட்சிகள்,பொது மேலாண்மைத் திறன்கள்
605,stockmanship,livestock raising skill,கையிருப்பு,கால்நடை வளர்ப்புத் திறமை
606,stockmanships,livestock raising skills,கையிருப்பு,கால்நடை வளர்ப்புத் திறமைகள்
607,swordsmanship,fencing skill,வாள்வீச்சு,வாள் வீச்சுத் திறமை
608,swordsmanships,fencing skills,வாள்வீச்சு,வாள் வீச்சுத் திறமைகள்
609,upmanship,competitive behavior,மேம்பாடு,போட்டி மனப்பான்மை
610,upmanships,competitive behaviors,மேம்பாடு,போட்டி மனப்பான்மைகள்
611,workmanship,workpersonship,வேலைத்திறன்,வேலைத் திறமை
612,workmanships,workpersonships,வேலைப்பாடுகள்,வேலைத் திறமைகள்
613,ambulancewoman,emergency medical technician,ஆம்புலன்ஸ் பெண்,அவசர மருத்துவ தொழில்நுட்பவியலாளர்
614,ambulancewomen,emergency medical technicians,ஆம்புலன்ஸ் பெண்கள்,அவசர மருத்துவ தொழில்நுட்பவியலாளர்கள்
615,anchorwoman,anchorperson,நங்கூரப் பெண்,தொகுப்பாளர்
616,anchorwomen,anchorpeople,நங்கூரப் பெண்கள்,தொகுப்பாளர்கள்
617,anti-woman,misogynist,பெண் எதிர்ப்பு,பெண் வெறுப்பாளர்
618,anti-women,misogynists,பெண்களுக்கு எதிரானது,பெண் வெறுப்பாளர்கள்
619,antiwoman,misogynist,பெண் விரோதி,பெண் வெறுப்பாளர்
620,antiwomen,misogynists,எங்களைக் காப்பாற்றுங்கள்,பெண் வெறுப்பாளர்கள்
621,bogeywoman,monster,போகி பெண்,அரக்கர் / அசுரர்
622,bogeywomen,monsters,போகி பெண்கள்,அரக்கர்கள் / அசுரர்கள்
623,bondwoman,slave,அடிமைப் பெண்,அடிமை
624,bondwomen,slaves,கொத்தடிமைகள்,அடிமைகள்
625,businesswoman,businessperson,தொழிலதிபர்,வணிகர் / தொழிலதிபர்
626,businesswomen,businesspeople,வணிகப் பெண்கள்,வணிகர்கள் / தொழிலதிபர்கள்
627,cavewoman,caveperson,குகைப் பெண்,குகைவாசி
628,cavewomen,cavepeople,குகைப் பெண்கள்,குகைவாசிகள்
629,charwoman,cleaner,அழகன்,தூய்மைப் பணியாளர்
630,charwomen,cleaners,அழகிகள்,தூய்மைப் பணியாளர்கள்
631,congresswoman,congressperson,காங்கிரஸ் பெண்,நாடாளுமன்ற உறுப்பினர்
632,congresswomen,congresspeople,காங்கிரஸ் பெண்கள்,நாடாளுமன்ற உறுப்பினர்கள்
633,craftswoman,craftsoerson,கைவினைஞர்,கைவினைஞர்
634,craftswomen,craftsoersons,கைவினைஞர்கள்,கைவினைஞர்கள்
635,everywoman,ordinary person,ஒவ்வொரு பெண்,சாதாரண நபர்
636,everywomen,ordinary people,ஒவ்வொரு பெண்ணும்,சாதாரண மக்கள்
637,fisherwoman,fisher,மீனவ பெண்,மீனவர்
638,fisherwomen,fishers,மீனவப் பெண்கள்,மீனவர்கள்
639,forewoman,foreperson,முன்னோடி,மேற்பார்வையாளர்
640,forewomen,forepeople,முன்பெண்கள்,மேற்பார்வையாளர்கள்
641,frontierswoman,explorer,எல்லைப் பெண்,ஆய்வாளர்
642,frontierswomen,explorers,எல்லைப்புற பெண்கள்,ஆய்வாளர்கள்
643,frontwoman,frontperson,முன்னணி பெண்,முன்னணியாளர் / முகப்பு நபர்
644,frontwomen,frontpeople,முன்னணி பெண்கள்,முன்னணியாளர்கள் / முகப்பு நபர்கள்
645,gentlewoman,refined person,பண்புள்ள பெண்,பண்பட்ட நபர்
646,gentlewomen,refined people,அன்பான பெண்கள்,பண்பட்ட மக்கள்
647,hitwoman,assassin,தாக்கப்பட்ட பெண்,கொலையாளி
648,hitwomen,assassins,தாக்கப்பட்ட பெண்கள்,கொலையாளிகள்
649,horsewoman,equestrian,குதிரைப் பெண்,குதிரையேற்ற வீரர்
650,horsewomen,equestrians,குதிரைப் பெண்கள்,குதிரையேற்ற வீரர்கள்
651,madwoman,maniac,பைத்தியம் பிடித்த பெண்,மனநோயாளி / வெறியர்
652,madwomen,maniacs,பைத்தியக்காரர்கள்,மனநோயாளிகள் / வெறியர்கள்
653,man-woman,masculine person,ஆண்-பெண்,ஆண்மை இயல்புடைய நபர்
654,man-women,masculine people,ஆண்-பெண்கள்,ஆண்மை இயல்புடைய நபர்கள்
655,manwoman,masculine person,ஆண்பெண்,ஆண்மை இயல்புடைய நபர்
656,manwomen,masculine people,எங்களை நிரப்ப,ஆண்மை இயல்புடைய நபர்கள்
657,markswoman,sharpshooter,குறிகாட்டி,குறி பார்த்து சுடுபவர்
658,markswomen,sharpshooters,மதிப்பெண் பெண்கள்,குறி பார்த்து சுடுபவர்கள்
659,newswoman,reporter,செய்தி பெண்,நிருபர்
660,newswomen,reporters,செய்திப் பெண்கள்,நிருபர்கள்
661,noblewoman,noble person,உன்னத பெண்,உயர்குடி நபர்
662,noblewomen,noble people,உன்னதப் பெண்கள்,உயர்குடி மக்கள்
663,policewoman,police officer,போலீஸ் பெண்,காவல் அதிகாரி
664,policewomen,police officers,போலீஸ் பெண்கள்,காவல் அதிகாரிகள்
665,selectwoman,member of the board,தேர்ந்தெடுக்கப்பட்ட பெண்,ஆட்சிக் குழு உறுப்பினர்
666,selectwomen,members of the board,தேர்ந்தெடுக்கப்பட்ட பெண்கள்,ஆட்சிக் குழு உறுப்பினர்கள்
667,servicewoman,service member,பணிப்பெண்,படை வீரர் / சேவை உறுப்பினர்
668,servicewomen,service members,சேவைப் பெண்கள்,படை வீரர்கள் / சேவை உறுப்பினர்கள்
669,spokeswoman,spokesperson,பேச்சாளர்,செய்தித் தொடர்பாளர்
670,spokeswomen,spokespeople,பேச்சாளர்கள்,செய்தித் தொடர்பாளர்கள்
671,spokewoman,spokeperson,பேச்சாளர்,செய்தித் தொடர்பாளர்
672,spokewomen,spokepeople,பேச்சுப் பெண்கள்,செய்தித் தொடர்பாளர்கள்
