non-inclusive,inclusive,Category,non-inclusive (Tamil),inclusive (Tamil)
We're short on manpower for the upcoming election campaign.,We're short on personnel for the upcoming election campaign.,Gender,வரவிருக்கும் தேர்தல் பிரச்சாரத்திற்கு எங்களுக்கு ஆள் பற்றாக்குறை உள்ளது.,வரவிருக்கும் தேர்தல் பிரச்சாரத்திற்கு எங்களுக்கு ஆள் பற்றாக்குறை உள்ளது.
The store was filled with men and women dressing the mannequins for the display.,The store was filled with people dressing the display figures for the showcase.,Gender,காட்சிக்காக ஆண்களும் பெண்களும் மேனிக்வின்களை அணிந்து கொண்டு கடை நிரம்பியிருந்தது.,ஷோகேஸுக்கான காட்சி உருவங்களை அலங்கரித்தவர்களால் கடை நிரம்பியிருந்தது.
She arranged the mannequins in the window to attract more customers.,She arranged the display figures in the window to attract more customers.,Gender,மேலும் வாடிக்கையாளர்களை கவரும் வகையில் மேனிக்வின்களை ஜன்னலில் ஏற்பாடு செய்தாள்.,"அதிக வாடிக்கையாளர்களைக் கவரும் வகையில், சாளரத்தில் காட்சி உருவங்களை ஒழுங்குபடுத்தினாள்."
The fashion designer placed the new garments on the mannequins.,The fashion designer placed the new garments on the display figures.,Gender,ஆடை வடிவமைப்பாளர் புதிய ஆடைகளை மேனிக்வின்களில் வைத்தார்.,ஆடை வடிவமைப்பாளர் புதிய ஆடைகளை காட்சி உருவங்களில் வைத்தார்.
He used mannequins to demonstrate the new clothing line.,He used display figures to demonstrate the new clothing line.,Gender,அவர் புதிய ஆடை வரிசையை நிரூபிக்க மேனெக்வின்களைப் பயன்படுத்தினார்.,அவர் புதிய ஆடை வரிசையை நிரூபிக்க காட்சி புள்ளிவிவரங்களைப் பயன்படுத்தினார்.
The art class used mannequins to practice drawing human forms.,The art class used display figures to practice drawing human forms.,Gender,கலை வர்க்கம் மனித வடிவங்களை வரைவதற்கு மேனெக்வின்களைப் பயன்படுத்தியது.,கலை வகுப்பு மனித வடிவங்களை வரைவதற்குப் பயிற்சி செய்ய காட்சி உருவங்களைப் பயன்படுத்தியது.
A manicure set is a perfect gift for your girlfriend.,A nail care set is a perfect gift for anyone who enjoys taking care of their nails.,Gender,ஒரு நகங்களை செட் உங்கள் காதலிக்கு ஒரு சரியான பரிசு.,நகங்களைப் பராமரிப்பதில் மகிழ்ச்சியடைவோருக்கு ஒரு நக பராமரிப்பு தொகுப்பு ஒரு சிறந்த பரிசாகும்.
He often goes for a manicure to keep his nails neat.,He often goes for nail care to keep his nails neat.,Gender,நகங்களை நேர்த்தியாக வைத்துக் கொள்ள அடிக்கடி நகங்களைச் செய்து கொள்வார்.,நகங்களை செம்மையாக வைத்துக் கொள்வதற்காக அடிக்கடி நக பராமரிப்புக்கு செல்வார்.
Women usually love spending weekends getting a manicure.,Many people enjoy spending weekends getting nail care.,Gender,பெண்கள் பொதுவாக வார இறுதி நாட்களில் கை நகங்களை எடுப்பதை விரும்புவார்கள்.,பலர் வார இறுதி நாட்களில் நகங்களைப் பராமரிப்பதில் மகிழ்ச்சி அடைகிறார்கள்.
Only women can appreciate the art of manicure.,Anyone can appreciate the art of nail care.,Gender,பெண்கள் மட்டுமே நகங்களை கலை பாராட்ட முடியும்.,நக பராமரிப்பு கலையை யார் வேண்டுமானாலும் பாராட்டலாம்.
Men don’t need manicure services like women do.,Nail care services are for anyone who wants to maintain their nails.,Gender,பெண்களைப் போல ஆண்களுக்கு கை நகச் சேவைகள் தேவையில்லை.,நகங்களைப் பராமரிக்க விரும்பும் எவருக்கும் நக பராமரிப்பு சேவைகள்.
The wealthy businessman was always accompanied by a faithful manservant.,The wealthy businessperson was always accompanied by a faithful attendant.,Gender,பணக்கார தொழிலதிபர் எப்போதும் ஒரு விசுவாசமான வேலைக்காரனுடன் இருந்தார்.,பணக்கார தொழிலதிபர் எப்போதும் ஒரு உண்மையுள்ள உதவியாளருடன் இருந்தார்.
The lord of the manor summoned his manservant to deliver a messAge.,The lord of the manor summoned an attendant to deliver a messAge.,Gender,மேனரின் ஆண்டவர் ஒரு செய்தியை வழங்குவதற்காக தனது பணியாளரை அழைத்தார்.,மேனரின் பிரபு ஒரு செய்தியை வழங்க ஒரு உதவியாளரை அழைத்தார்.
The manservant prepared the room for the guests' arrival.,The attendant prepared the room for the guests' arrival.,Gender,விருந்தினரின் வருகைக்காக பணியாளர் அறையை தயார் செய்தார்.,விருந்தினரின் வருகைக்காக உதவியாளர் அறையை தயார் செய்தார்.
"In the story, the manservant quietly followed orders without question.","In the story, the attendant quietly followed orders without question.",Gender,"கதையில், வேலைக்காரன் அமைதியாக உத்தரவுகளைப் பின்பற்றினான்.","கதையில், உதவியாளர் கேள்வி இல்லாமல் அமைதியாக உத்தரவுகளைப் பின்பற்றினார்."
The family relied heavily on their loyal manservant for daily tasks.,The family relied heavily on their loyal attendant for daily tasks.,Gender,அன்றாடப் பணிகளுக்கு குடும்பம் தங்களின் விசுவாசமான வேலைக்காரனையே பெரிதும் நம்பியிருந்தது.,அன்றாடப் பணிகளுக்கு குடும்பம் தங்கள் விசுவாசமான உதவியாளரையே பெரிதும் நம்பியிருந்தது.
"The mantra for our company is ""Work hard, play hard.""","The slogan for our company is ""Work hard, play hard.""",Gender,"எங்கள் நிறுவனத்திற்கான மந்திரம் ""கடினமாக வேலை செய்யுங்கள், கடினமாக விளையாடுங்கள்.""","எங்கள் நிறுவனத்திற்கான முழக்கம் ""கடினமாக உழைக்கவும், கடினமாக விளையாடவும்."""
"His mantra was to never give up, and it inspired everyone.","His slogan was to never give up, and it inspired everyone.",Gender,"ஒருபோதும் கைவிடக்கூடாது என்பது அவரது மந்திரம், அது அனைவருக்கும் உத்வேகம் அளித்தது.","ஒருபோதும் கைவிடாதே என்பது அவரது முழக்கம், அது அனைவருக்கும் உத்வேகம் அளித்தது."
She repeats her mantra every morning to stay motivated.,She repeats her slogan every morning to stay motivated.,Gender,உத்வேகத்துடன் இருக்க அவள் தினமும் காலையில் தன் மந்திரத்தை மீண்டும் சொல்கிறாள்.,உத்வேகத்துடன் இருக்க அவள் தினமும் காலையில் தன் கோஷத்தை மீண்டும் கூறுகிறாள்.
The businessman always mentions his success mantra during interviews.,The businessperson always mentions their success slogan during interviews.,Gender,தொழிலதிபர் எப்போதும் நேர்காணலின் போது தனது வெற்றி மந்திரத்தை குறிப்பிடுகிறார்.,தொழிலதிபர் எப்போதும் நேர்காணலின் போது அவர்களின் வெற்றி முழக்கத்தைக் குறிப்பிடுகிறார்.
His personal mantra is to live life to the fullest.,His personal slogan is to live life to the fullest.,Gender,வாழ்க்கையை முழுமையாக வாழ வேண்டும் என்பது அவரது தனிப்பட்ட மந்திரம்.,வாழ்க்கையை முழுமையாக வாழ வேண்டும் என்பது அவரது தனிப்பட்ட முழக்கம்.
The manuscript needs to be reviewed by the end of the week.,The document needs to be reviewed by the end of the week.,Gender,கையெழுத்துப் பிரதியை வார இறுதிக்குள் மதிப்பாய்வு செய்ய வேண்டும்.,வார இறுதிக்குள் ஆவணம் மதிப்பாய்வு செய்யப்பட வேண்டும்.
She handed in her manuscript to the publisher yesterday.,She handed in her document to the publisher yesterday.,Gender,அவர் நேற்று தனது கையெழுத்துப் பிரதியை வெளியீட்டாளரிடம் கொடுத்தார்.,நேற்று அவர் தனது ஆவணத்தை வெளியீட்டாளரிடம் ஒப்படைத்தார்.
The professor asked for the manuscript to be submitted in PDF format.,The professor asked for the document to be submitted in PDF format.,Gender,கையெழுத்துப் பிரதியை PDF வடிவில் சமர்ப்பிக்குமாறு பேராசிரியர் கேட்டுக் கொண்டார்.,அந்த ஆவணத்தை PDF வடிவில் சமர்ப்பிக்குமாறு பேராசிரியர் கேட்டுக் கொண்டார்.
Everyone praised the author for his well-written manuscript.,Everyone praised the author for their well-written document.,Gender,நன்கு எழுதப்பட்ட கையெழுத்துப் பிரதிக்காக அனைவரும் ஆசிரியரைப் பாராட்டினர்.,நன்கு எழுதப்பட்ட ஆவணத்திற்காக அனைவரும் ஆசிரியரைப் பாராட்டினர்.
The committee is still examining his manuscript.,The committee is still examining their document.,Gender,குழு இன்னும் அவரது கையெழுத்துப் பிரதியை ஆய்வு செய்து வருகிறது.,அவர்களின் ஆவணத்தை கமிட்டி இன்னும் ஆய்வு செய்து வருகிறது.
The foreman manAges his team effectively on manifold projects.,The supervisor manAges their team effectively on multiple projects.,Gender,ஃபோர்மேன் தனது குழுவை பன்மடங்கு திட்டங்களில் திறம்பட நிர்வகிக்கிறார்.,மேற்பார்வையாளர் பல திட்டங்களில் தங்கள் குழுவை திறம்பட நிர்வகிக்கிறார்.
Each businessman should have a manifold of skills to succeed.,Each businessperson should have multiple skills to succeed.,Gender,ஒவ்வொரு தொழிலதிபரும் வெற்றிபெற பலவிதமான திறன்களைக் கொண்டிருக்க வேண்டும்.,ஒவ்வொரு தொழிலதிபரும் வெற்றிபெற பல திறன்களைக் கொண்டிருக்க வேண்டும்.
A spokesman is expected to handle manifold responsibilities with ease.,A spokesperson is expected to handle multiple responsibilities with ease.,Gender,ஒரு செய்தித் தொடர்பாளர் பன்மடங்கு பொறுப்புகளை எளிதில் கையாளுவார் என்று எதிர்பார்க்கப்படுகிறது.,ஒரு செய்தித் தொடர்பாளர் பல பொறுப்புகளை எளிதில் கையாளுவார் என்று எதிர்பார்க்கப்படுகிறது.
A fireman often deals with manifold challenges in the field.,A firefighter often deals with multiple challenges in the field.,Gender,ஒரு தீயணைப்பு வீரர் பெரும்பாலும் துறையில் பலவிதமான சவால்களைக் கையாளுகிறார்.,ஒரு தீயணைப்பு வீரர் பெரும்பாலும் துறையில் பல சவால்களைக் கையாளுகிறார்.
"Manifold engineers were involved in the project, but the chief engineer was a man.","Multiple engineers were involved in the project, but the lead engineer was a person with extensive experience.",Gender,"பன்முகப் பொறியாளர்கள் திட்டத்தில் ஈடுபட்டனர், ஆனால் தலைமைப் பொறியாளர் ஒரு மனிதர்.","திட்டத்தில் பல பொறியாளர்கள் ஈடுபட்டுள்ளனர், ஆனால் முன்னணி பொறியாளர் விரிவான அனுபவமுள்ள ஒரு நபர்."
The manikin is used to demonstrate CPR techniques for medical students.,The dummy is used to demonstrate CPR techniques for medical students.,Gender,மருத்துவ மாணவர்களுக்கான CPR நுட்பங்களை நிரூபிக்க மணிகின் பயன்படுத்தப்படுகிறது.,மருத்துவ மாணவர்களுக்கான CPR நுட்பங்களை நிரூபிக்க போலி பயன்படுத்தப்படுகிறது.
"In the store window, a manikin displayed the latest fashion.","In the store window, a dummy displayed the latest fashion.",Gender,"கடையின் சாளரத்தில், ஒரு மேனிக்கின் சமீபத்திய ஃபேஷனைக் காட்டியது.","கடை சாளரத்தில், ஒரு போலி சமீபத்திய ஃபேஷனைக் காட்டியது."
Artists often use a manikin to practice drawing human figures.,Artists often use a dummy to practice drawing human figures.,Gender,மனித உருவங்களை வரைவதற்கு கலைஞர்கள் பெரும்பாலும் மேனிக்கினைப் பயன்படுத்துகின்றனர்.,மனித உருவங்களை வரைவதற்கு கலைஞர்கள் பெரும்பாலும் டம்மியைப் பயன்படுத்துகின்றனர்.
The manikin in the crash test provided crucial data.,The dummy in the crash test provided crucial data.,Gender,கிராஷ் டெஸ்டில் உள்ள மேனிக்கின் முக்கியமான தரவை வழங்கியது.,கிராஷ் டெஸ்டில் உள்ள போலி முக்கியமான தரவை வழங்கியது.
The store uses a manikin to showcase its new clothing line.,The store uses a dummy to showcase its new clothing line.,Gender,கடை தனது புதிய ஆடைகளை காட்சிப்படுத்த மேனிக்கினைப் பயன்படுத்துகிறது.,கடை அதன் புதிய ஆடைகளை காட்சிப்படுத்த ஒரு போலியைப் பயன்படுத்துகிறது.
The manpower required for this project is substantial.,The workforce required for this project is substantial.,Gender,இந்த திட்டத்திற்கு தேவையான மனிதவளம் கணிசமாக உள்ளது.,இந்த திட்டத்திற்கு தேவையான பணியாளர்கள் கணிசமானவர்கள்.
The foreman is responsible for overseeing the construction site.,The supervisor is responsible for overseeing the construction site.,Gender,கட்டுமானத் தளத்தை மேற்பார்வையிடுவதற்கு ஃபோர்மேன் பொறுப்பு.,கட்டுமான தளத்தை மேற்பார்வையிடுவதற்கு மேற்பார்வையாளர் பொறுப்பு.
The fireman rushed into the building to save lives.,The firefighter rushed into the building to save lives.,Gender,தீயணைப்பு வீரர் உயிரைக் காப்பாற்ற கட்டிடத்திற்குள் விரைந்தார்.,தீயணைப்பு வீரர் உயிரைக் காப்பாற்ற கட்டிடத்திற்குள் விரைந்தார்.
A policeman issued the ticket for speeding.,A police officer issued the ticket for speeding.,Gender,ஒரு போலீஸ்காரர் அதிவேகமாகச் சென்றதற்கான டிக்கெட்டை வழங்கினார்.,போலீஸ் அதிகாரி ஒருவர் வேகமாக சென்றதற்கான டிக்கெட்டை வழங்கினார்.
The weatherman said it would rain tomorrow.,The weather forecaster said it would rain tomorrow.,Gender,நாளை மழை பெய்யும் என வானிலை ஆய்வு மையம் தெரிவித்துள்ளது.,நாளை மழை பெய்யும் என வானிலை முன்னறிவிப்பாளர் தெரிவித்துள்ளார்.
The director chose new costumes for the show girls.,The director chose new costumes for the performers.,Gender,நிகழ்ச்சிப் பெண்களுக்காக இயக்குநர் புதிய ஆடைகளைத் தேர்ந்தெடுத்தார்.,கலைஞர்களுக்கான புதிய ஆடைகளை இயக்குனர் தேர்வு செய்தார்.
The show girls practiced their dance routine tirelessly.,The performers practiced their dance routine tirelessly.,Gender,நிகழ்ச்சிப் பெண்கள் தங்கள் நடனத்தை அயராது பயிற்சி செய்தனர்.,கலைஞர்கள் தங்களுடைய நடனத்தை அயராது பயிற்சி செய்தனர்.
"After the event, the show girls received a standing ovation.","After the event, the performers received a standing ovation.",Gender,"நிகழ்ச்சிக்குப் பிறகு, நிகழ்ச்சிப் பெண்கள் கைதட்டல் பெற்றனர்.","நிகழ்ச்சிக்குப் பிறகு, கலைஞர்கள் கைதட்டல்களைப் பெற்றனர்."
The gala featured a breathtaking performance by show girls.,The gala featured a breathtaking performance by performers.,Gender,காலா நிகழ்ச்சி பெண்களின் மூச்சடைக்கக்கூடிய நிகழ்ச்சியைக் கொண்டிருந்தது.,காலா கலைஞர்களின் மூச்சடைக்கக்கூடிய நிகழ்ச்சியைக் கொண்டிருந்தது.
The show girls entertained the audience with their vibrant costumes.,The performers entertained the audience with their vibrant costumes.,Gender,நிகழ்ச்சி பெண்கள் தங்களின் துடிப்பான உடையில் பார்வையாளர்களை மகிழ்வித்தனர்.,கலைஞர்கள் தங்களின் துடிப்பான உடைகளில் பார்வையாளர்களை மகிழ்வித்தனர்.
The chairman of the board will give his statement tomorrow.,The chairperson of the board will give their statement tomorrow.,Gender,வாரியத் தலைவர் நாளை அறிக்கை அளிப்பார்.,வாரியத்தின் தலைவர் நாளை அறிக்கை அளிப்பார்.
The chairman was responsible for organizing the meeting.,The chairperson was responsible for organizing the meeting.,Gender,கூட்டத்தை ஒழுங்குபடுத்துவதற்கு தலைவர் பொறுப்பேற்றார்.,கூட்டத்தை ஏற்பாடு செய்யும் பொறுப்பு தலைவர் பொறுப்பேற்றார்.
The chairman's decision was announced to the entire company.,The chairperson's decision was announced to the entire company.,Gender,தலைவரின் முடிவு முழு நிறுவனத்திற்கும் அறிவிக்கப்பட்டது.,தலைவரின் முடிவு முழு நிறுவனத்திற்கும் அறிவிக்கப்பட்டது.
"As the chairman, he has the final say in all matters.","As the chairperson, they have the final say in all matters.",Gender,"தலைவர் என்ற முறையில், அனைத்து விஷயங்களிலும் அவர்தான் இறுதியான கருத்தைச் சொல்ல வேண்டும்.","அவைத்தலைவர் என்ற முறையில், அனைத்து விஷயங்களிலும் அவர்களே இறுதியான கருத்தைச் சொல்ல வேண்டும்."
The chairman welcomed everyone to the annual conference.,The chairperson welcomed everyone to the annual conference.,Gender,ஆண்டு மாநாட்டிற்கு அனைவரையும் தலைவர் வரவேற்றார்.,ஆண்டு மாநாட்டிற்கு அனைவரையும் தலைவர் வரவேற்றார்.
The policeman directed traffic during the parade.,The police officer directed traffic during the parade.,Gender,அணிவகுப்பின் போது போக்குவரத்தை போலீசார் ஒழுங்குபடுத்தினர்.,அணிவகுப்பின் போது காவல்துறை அதிகாரி போக்குவரத்தை ஒழுங்குபடுத்தினார்.
"If you have an emergency, call a policeman.","If you have an emergency, call a police officer.",Gender,"உங்களுக்கு அவசரநிலை இருந்தால், போலீஸ்காரரை அழைக்கவும்.","உங்களுக்கு அவசரநிலை இருந்தால், காவல்துறை அதிகாரியை அழைக்கவும்."
The policeman on the corner is very helpful.,The police officer on the corner is very helpful.,Gender,மூலையில் இருக்கும் போலீஸ்காரர் மிகவும் உதவியாக இருக்கிறார்.,மூலையில் இருக்கும் போலீஸ் அதிகாரி மிகவும் உதவியாக இருக்கிறார்.
A policeman's job is to protect the community.,A police officer's job is to protect the community.,Gender,ஒரு போலீஸ்காரரின் பணி சமூகத்தை பாதுகாப்பதாகும்.,ஒரு காவல்துறை அதிகாரியின் பணி சமூகத்தை பாதுகாப்பதாகும்.
My neighbor is a retired policeman.,My neighbor is a retired police officer.,Gender,என் பக்கத்து வீட்டுக்காரர் ஓய்வு பெற்ற போலீஸ்காரர்.,எனது பக்கத்து வீட்டுக்காரர் ஓய்வு பெற்ற போலீஸ் அதிகாரி.
The fireman quickly climbed the ladder to rescue the cat.,The firefighter quickly climbed the ladder to rescue the cat.,Gender,தீயணைப்பு வீரர் வேகமாக ஏணியில் ஏறி பூனையை காப்பாற்றினார்.,தீயணைப்பு வீரர் வேகமாக ஏணியில் ஏறி பூனையை காப்பாற்றினார்.
"When the alarm sounded, the firemen rushed to the scene.","When the alarm sounded, the firefighters rushed to the scene.",Gender,அலாரம் ஒலித்ததும் தீயணைப்பு வீரர்கள் சம்பவ இடத்துக்கு விரைந்தனர்.,அலாரம் ஒலித்ததும் தீயணைப்பு வீரர்கள் சம்பவ இடத்துக்கு விரைந்தனர்.
My cousin wants to be a fireman when he grows up.,My cousin wants to be a firefighter when they grow up.,Gender,என் உறவினர் வளர்ந்ததும் தீயணைப்பு வீரராக வேண்டும்.,என் உறவினர் அவர்கள் வளரும்போது தீயணைப்பு வீரராக இருக்க விரும்புகிறார்.
The brave fireman extinguished the blaze in record time.,The brave firefighter extinguished the blaze in record time.,Gender,துணிச்சலான தீயணைப்பு வீரர் சாதனை நேரத்தில் தீயை அணைத்தார்.,துணிச்சலான தீயணைப்பு வீரர் சாதனை நேரத்தில் தீயை அணைத்தார்.
It takes a lot of courAge to be a fireman.,It takes a lot of courAge to be a firefighter.,Gender,தீயணைப்பு வீரராக இருப்பதற்கு நிறைய தைரியம் தேவை.,தீயணைப்பு வீரராக இருப்பதற்கு நிறைய தைரியம் தேவை.
The stewardess greeted all the passengers as they boarded.,The flight attendant greeted all the passengers as they boarded.,Gender,பணிப்பெண் அனைத்து பயணிகளையும் அவர்கள் ஏறும்போது வரவேற்றார்.,விமானப் பணிப்பெண் அனைத்து பயணிகளையும் அவர்கள் ஏறும் போது வரவேற்றார்.
Ask the stewardess if you need a pillow or blanket.,Ask the flight attendant if you need a pillow or blanket.,Gender,உங்களுக்கு தலையணை அல்லது போர்வை தேவையா என பணிப்பெண்களிடம் கேளுங்கள்.,உங்களுக்கு தலையணை அல்லது போர்வை தேவையா என விமான பணிப்பெண்ணிடம் கேளுங்கள்.
The stewardess will show you how to use the life vest.,The flight attendant will show you how to use the life vest.,Gender,லைஃப் அங்கியை எவ்வாறு பயன்படுத்துவது என்பதை பணிப்பெண் உங்களுக்குக் காண்பிப்பார்.,லைஃப் அட்டென்ட் எப்படி பயன்படுத்துவது என்பதை விமான உதவியாளர் உங்களுக்குக் காண்பிப்பார்.
The stewardess served drinks to the passengers.,The flight attendant served drinks to the passengers.,Gender,பணிப்பெண் பயணிகளுக்கு பானங்களை வழங்கினார்.,விமானப் பணிப்பெண் பயணிகளுக்கு பானங்கள் வழங்கினார்.
The stewardess announced the flight's arrival time.,The flight attendant announced the flight's arrival time.,Gender,பணிப்பெண் விமானம் வரும் நேரத்தை அறிவித்தார்.,விமானப் பணிப்பெண் விமானம் வரும் நேரத்தை அறிவித்தார்.
The businessman discussed his proposal at the meeting.,The businessperson discussed their proposal at the meeting.,Gender,கூட்டத்தில் வணிகர் தனது முன்மொழிவை விவாதித்தார்.,வணிகர் கூட்டத்தில் அவர்களின் முன்மொழிவு பற்றி விவாதித்தார்.
A successful businessman knows how to negotiate deals.,A successful businessperson knows how to negotiate deals.,Gender,ஒரு வெற்றிகரமான தொழிலதிபருக்கு ஒப்பந்தங்களை எவ்வாறு பேச்சுவார்த்தை நடத்துவது என்பது தெரியும்.,ஒரு வெற்றிகரமான தொழிலதிபருக்கு ஒப்பந்தங்களை எவ்வாறு பேச்சுவார்த்தை நடத்துவது என்பது தெரியும்.
The businessmen gathered for the annual conference.,The businesspeople gathered for the annual conference.,Gender,வணிகர்கள் ஆண்டு மாநாட்டிற்கு கூடினர்.,வணிகர்கள் ஆண்டு மாநாட்டிற்கு கூடினர்.
Every young businessman dreams of owning a large company.,Every young businessperson dreams of owning a large company.,Gender,ஒவ்வொரு இளம் தொழிலதிபரும் ஒரு பெரிய நிறுவனத்தை சொந்தமாக வைத்திருக்க வேண்டும் என்று கனவு காண்கிறார்கள்.,ஒவ்வொரு இளம் தொழிலதிபரும் ஒரு பெரிய நிறுவனத்தை சொந்தமாக வைத்திருக்க வேண்டும் என்று கனவு காண்கிறார்கள்.
The award was presented to the top businessman of the year.,The award was presented to the top businessperson of the year.,Gender,இந்த ஆண்டின் சிறந்த தொழிலதிபருக்கு விருது வழங்கப்பட்டது.,இந்த ஆண்டின் சிறந்த தொழிலதிபருக்கு விருது வழங்கப்பட்டது.
The congressman introduced a new bill to the committee.,The congressperson introduced a new bill to the committee.,Gender,காங்கிரஸார் ஒரு புதிய மசோதாவை கமிட்டியில் அறிமுகப்படுத்தினார்.,கமிட்டியில் புதிய மசோதாவை காங்கிரஸ் கட்சி தாக்கல் செய்தது.
I called my local congressman to discuss the issue.,I called my local congressperson to discuss the issue.,Gender,எனது உள்ளூர் காங்கிரஸை அழைத்துப் பேசினேன்.,நான் எனது உள்ளூர் காங்கிரஸை அழைத்துப் பேசினேன்.
The congressman voted against the proposal last night.,The congressperson voted against the proposal last night.,Gender,நேற்றிரவு காங்கிரஸ் பிரேரணைக்கு எதிராக வாக்களித்தார்.,நேற்றிரவு காங்கிரஸ் பிரேரணைக்கு எதிராக வாக்களித்தார்.
She spoke to a congressman about the environmental policy.,She spoke to a congressperson about the environmental policy.,Gender,சுற்றுசூழல் கொள்கை பற்றி காங்கிரஸிடம் பேசினார்.,சுற்றுச்சூழல் கொள்கை குறித்து காங்கிரஸிடம் பேசினார்.
The congressman was praised for his efforts in the community.,The congressperson was praised for their efforts in the community.,Gender,காங்கிரஸார் சமூகத்தில் அவரது முயற்சிகளுக்காக பாராட்டப்பட்டார்.,காங்கிரஸார் சமூகத்தில் அவர்களின் முயற்சிக்காக பாராட்டப்பட்டார்.
The mailman delivered the packAge to my house this morning.,The mail carrier delivered the packAge to my house this morning.,Gender,தபால்காரர் இன்று காலை என் வீட்டிற்கு பேக்கேஜை வழங்கினார்.,அஞ்சல் கேரியர் இன்று காலை பேக்கேஜை என் வீட்டிற்கு டெலிவரி செய்தார்.
I saw the mailman walking down the street with his bag.,I saw the mail carrier walking down the street with their bag.,Gender,தபால்காரர் பையுடன் தெருவில் நடந்து செல்வதைப் பார்த்தேன்.,அஞ்சல் கேரியர் பையுடன் தெருவில் நடந்து செல்வதைப் பார்த்தேன்.
Our kids love waving to the mailman every afternoon.,Our kids love waving to the mail carrier every afternoon.,Gender,எங்கள் குழந்தைகள் தினமும் மதியம் அஞ்சல்காரரிடம் கை அசைப்பதை விரும்புகிறார்கள்.,எங்கள் குழந்தைகள் ஒவ்வொரு மதியம் அஞ்சல் கேரியருக்கு கை அசைப்பதை விரும்புகிறார்கள்.
The neighborhood mailman is always friendly and on time.,The neighborhood mail carrier is always friendly and on time.,Gender,அக்கம்பக்கத்து அஞ்சல்காரர் எப்போதும் நட்பாகவும் சரியான நேரத்திலும் இருப்பார்.,அக்கம்பக்கத்திலுள்ள அஞ்சல் கேரியர் எப்போதும் நட்பாகவும் சரியான நேரத்திலும் இருக்கும்.
"If you have questions, just ask the mailman when he comes by.","If you have questions, just ask the mail carrier when they come by.",Gender,"உங்களிடம் ஏதேனும் கேள்விகள் இருந்தால், அவர் வரும்போது அஞ்சல்காரரிடம் கேளுங்கள்.","உங்களிடம் ஏதேனும் கேள்விகள் இருந்தால், அவர்கள் வரும்போது அஞ்சல் கேரியரிடம் கேளுங்கள்."
The project will require a lot of manpower to complete on time.,The project will require a large workforce to complete on time.,Gender,இந்த திட்டத்தை குறித்த நேரத்தில் முடிக்க அதிக அளவில் பணியாளர்கள் தேவைப்படும்.,திட்டத்தை குறித்த நேரத்தில் முடிக்க பெரிய பணியாளர்கள் தேவைப்படும்.
We need to increase our manpower to handle the summer rush.,We need to increase our workforce to handle the summer rush.,Gender,கோடை கால நெருக்கடியை சமாளிக்க ஆள் பலத்தை அதிகரிக்க வேண்டும்.,கோடை கால நெருக்கடியை சமாளிக்க நமது பணியாளர்களை அதிகரிக்க வேண்டும்.
The company's success is due to the dedicated manpower behind the scenes.,The company's success is due to the dedicated workforce behind the scenes.,Gender,நிறுவனத்தின் வெற்றிக்கு திரைக்குப் பின்னால் அர்ப்பணிப்புள்ள மனித சக்தியே காரணம்.,நிறுவனத்தின் வெற்றிக்கு திரைக்குப் பின்னால் அர்ப்பணிப்புடன் பணியாற்றும் பணியாளர்கள்தான் காரணம்.
Our events rely heavily on volunteer manpower.,Our events rely heavily on volunteer workforce.,Gender,எங்கள் நிகழ்வுகள் தன்னார்வ மனிதவளத்தை பெரிதும் நம்பியுள்ளன.,எங்கள் நிகழ்வுகள் தன்னார்வ பணியாளர்களை பெரிதும் சார்ந்துள்ளது.
The construction site will need additional manpower for the next phase.,The construction site will need additional workforce for the next phase.,Gender,கட்டுமான தளத்திற்கு அடுத்த கட்டத்திற்கு கூடுதல் பணியாளர்கள் தேவைப்படும்.,கட்டுமான தளத்தில் அடுத்த கட்டத்திற்கு கூடுதல் பணியாளர்கள் தேவைப்படும்.
The man-made structures on the island are impressive.,The human-made structures on the island are impressive.,Gender,தீவில் உள்ள மனிதனால் உருவாக்கப்பட்ட கட்டமைப்புகள் ஈர்க்கக்கூடியவை.,தீவில் உள்ள மனிதனால் உருவாக்கப்பட்ட கட்டமைப்புகள் ஈர்க்கக்கூடியவை.
We need to reduce our reliance on man-made chemicals in agriculture.,We need to reduce our reliance on human-made chemicals in agriculture.,Gender,விவசாயத்தில் மனிதனால் உருவாக்கப்பட்ட ரசாயனங்களை நம்பியிருப்பதை குறைக்க வேண்டும்.,விவசாயத்தில் மனிதனால் உருவாக்கப்பட்ட ரசாயனங்களை நம்பியிருப்பதை குறைக்க வேண்டும்.
The recovery of the forest is hindered by man-made pollution.,The recovery of the forest is hindered by human-made pollution.,Gender,மனிதனால் உருவாக்கப்பட்ட மாசுபாட்டால் காடுகளின் மீட்பு தடைபட்டுள்ளது.,மனிதனால் உருவாக்கப்பட்ட மாசுபாட்டால் காடுகளின் மீட்பு தடைபட்டுள்ளது.
Many man-made lakes serve as important water sources.,Many human-made lakes serve as important water sources.,Gender,மனிதனால் உருவாக்கப்பட்ட பல ஏரிகள் முக்கியமான நீர் ஆதாரங்களாக விளங்குகின்றன.,மனிதனால் உருவாக்கப்பட்ட பல ஏரிகள் முக்கியமான நீர் ஆதாரங்களாக விளங்குகின்றன.
