non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
She plays well for a girl.,She plays exceptionally well.,Gender,ಹುಡುಗಿಗೆ ಚೆನ್ನಾಗಿ ಆಡುತ್ತಾಳೆ.,ಅವಳು ಅಸಾಧಾರಣವಾಗಿ ಆಡುತ್ತಾಳೆ.
He’s got no rizz (Gen Z slang for charisma),He seems shy or reserved,Gender,ಅವನಿಗೆ ರಿಜ್ ಇಲ್ಲ (ಜನರಲ್ ಝಡ್ ಸ್ಲ್ಯಾಂಗ್ ವರ್ಚಸ್ಸು),ಅವನು ಸಂಕೋಚ ಸ್ವಭಾವ ತೋರುತ್ತಾನೆ
She ghosted him (Gen Z slang for ignoring),She stopped responding to his messAges,Gender,ಅವಳು ಅವನನ್ನು ಪ್ರೇತಗೊಳಿಸಿದಳು (ನಿರ್ಲಕ್ಷಿಸುವುದಕ್ಕಾಗಿ Gen Z ಆಡುಭಾಷೆ),ಅವಳು ಅವನ ಸಂದೇಶಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯಿಸುವುದನ್ನು ನಿಲ್ಲಿಸಿದಳು
That’s so lame,That’s not cool / That’s disappointing,Gender,ಅದು ತುಂಬಾ ಕುಂಟಾಗಿದೆ,ಅದು ತಂಪಾಗಿಲ್ಲ / ಅದು ನಿರಾಶಾದಾಯಕವಾಗಿದೆ
She had a total breakdown—she’s a real basket case.,She’s feeling overwhelmed and anxious right now.,Gender,ಅವಳು ಸಂಪೂರ್ಣ ಸ್ಥಗಿತವನ್ನು ಹೊಂದಿದ್ದಳು-ಅವಳು ನಿಜವಾದ ಬಾಸ್ಕೆಟ್ ಕೇಸ್.,ಅವಳು ಇದೀಗ ವಿಪರೀತ ಮತ್ತು ಆತಂಕಕ್ಕೊಳಗಾಗಿದ್ದಾಳೆ.
That test was a cakewalk!,That test was surprisingly easy.,Gender,ಅದು ಚಿಲ್ಲರೆ ಪರೀಕ್ಷೆ ಆಗಿತ್ತು!,ಆ ಪರೀಕ್ಷೆಯು ಆಶ್ಚರ್ಯಕರವಾಗಿ ಸುಲಭವಾಗಿತ್ತು.
This project really takes the cake in terms of disaster.,This project was the most chaotic one we’ve had.,Gender,ಈ ಯೋಜನೆ ದುರಂತದ ವಿಷಯಕ್ಕೆ ಬಂದರೆ ಎಲ್ಲಕ್ಕಿಂತ ಮೇಲು!,ಇದು ನಮ್ಮಿಗಿದ್ದ ಯೋಜನೆಗಳಲ್ಲಿ ಅತ್ಯಂತ ಗೋಜುಗುಜ್ಜಾದದು.
That part of town is so ghetto.,That neighborhood faces a lot of economic challenges.,Gender,ಪಟ್ಟಣದ ಆ ಭಾಗವು ಅಸುರಕ್ಷಿತವಾಗಿದೆ,ಆ ನೆರೆಹೊರೆಯು ಬಹಳಷ್ಟು ಆರ್ಥಿಕ ಸವಾಲುಗಳನ್ನು ಎದುರಿಸುತ್ತಿದೆ.
I totally got gypped on that deal.,I was cheated out of a fair deal.,Gender,ನಾನು ಸಂಪೂರ್ಣವಾಗಿ ಆ ಒಪ್ಪಂದದಲ್ಲಿ ಮೋಸಹೋದೆ.,ನನಗೆ ನ್ಯಾಯಯುತವಾಗಿ ವಂಚನೆಯಾಯಿತು.
Long time no see!,I haven’t seen you in such a long time!,Gender,ಬಹಳ ದಿನಗಳಿಂದ ಕಾಣಿಸಲೇ ಇಲ್ಲ!,ನಾನು ನಿನ್ನನ್ನು ಇಷ್ಟು ದಿನ ನೋಡಿಲ್ಲ!
"Sorry, no can do.","Sorry, I can’t do that.",Gender,"ಕ್ಷಮಿಸಿ, ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ.","ಕ್ಷಮಿಸಿ, ನಾನು ಅದನ್ನು ಮಾಡಲು ಸಾಧ್ಯವಿಲ್ಲ."
They threw him in the paddy wagon.,They put him in a police car.,Gender,ಅವರು ಅವನನ್ನು ಭತ್ತದ ಬಂಡಿಯಲ್ಲಿ ಎಸೆದರು.,ಅವರು ಅವನನ್ನು ಪೊಲೀಸ್ ಕಾರಿನಲ್ಲಿ ಹಾಕಿದರು.
The peanut gallery had a lot to say during the meeting.,The audience made several comments during the meeting.,Gender,ಸಭೆಯಲ್ಲಿ ಸಂಬಂಧಿಸದವರಿಂದ ಅನೇಕ ಅಭಿಪ್ರಾಯಗಳು ಬರುತ್ತಿದ್ದವು.,ಸಭೆಯಲ್ಲಿ ಸಭಿಕರು ಹಲವಾರು ಟೀಕೆಗಳನ್ನು ಮಾಡಿದರು.
Let’s pow wow tomorrow about the project.,Let’s meet tomorrow to discuss the project.,Gender,ಯೋಜನೆಯ ಬಗ್ಗೆ ನಾಳೆ ಚರ್ಚೆ ಮಾಡೋಣ.,ಯೋಜನೆಯ ಬಗ್ಗೆ ಚರ್ಚಿಸಲು ನಾಳೆ ಭೇಟಿಯಾಗೋಣ.
That’s just the rule of thumb we use here.,That’s the general guideline we follow here.,Gender,ನಾವು ಇಲ್ಲಿ ಬಳಸುವ ಹೆಬ್ಬೆರಳಿನ ನಿಯಮ ಅಷ್ಟೆ.,ನಾವು ಇಲ್ಲಿ ಅನುಸರಿಸುವ ಸಾಮಾನ್ಯ ಮಾರ್ಗಸೂಚಿ ಇಲ್ಲಿದೆ.
He was totally sold down the river by his business partner.,He was completely betrayed by his business partner.,Gender,ಅವನು ತನ್ನ ವ್ಯವಹಾರ ಪಾಲುದಾರನಿಂದ ಸಂಪೂರ್ಣವಾಗಿ ದ್ರೋಹಕ್ಕೊಳಗಾದ,ಅವನು ತನ್ನ ವ್ಯವಹಾರ ಪಾಲುದಾರನಿಂದ ಸಂಪೂರ್ಣವಾಗಿ ದ್ರೋಹಕ್ಕೊಳಗಾದ
Me and my tribe are heading out for drinks.,My group of friends is heading out for drinks.,Gender,ನಾನು ಮತ್ತು ನನ್ನ ಬುಡಕಟ್ಟು ಪಾನೀಯಗಳಿಗಾಗಿ ಹೊರಡುತ್ತಿದ್ದೇವೆ.,ನನ್ನ ಸ್ನೇಹಿತರ ಗುಂಪು ಪಾನೀಯಕ್ಕಾಗಿ ಹೊರಟಿದೆ.
Coffee is my spirit animal.,I really connect with coffee it keeps me going!,Gender,ಕಾಫಿ ನನ್ನ ಆತ್ಮ ಪ್ರಾಣ.,ನಾನು ಕಾಫಿಯೊಂದಿಗೆ ನಿಜವಾಗಿಯೂ ಸಂಪರ್ಕ ಹೊಂದಿದ್ದೇನೆ ಅದು ನನ್ನನ್ನು ಮುಂದುವರಿಸುತ್ತದೆ!
We need a physically strong candidate for this role.,We need a candidate who meets the physical requirements of this role.,Gender,ಈ ಪಾತ್ರಕ್ಕಾಗಿ ನಮಗೆ ದೈಹಿಕವಾಗಿ ಬಲವಾದ ಅಭ್ಯರ್ಥಿಯ ಅಗತ್ಯವಿದೆ.,ಈ ಪಾತ್ರದ ಭೌತಿಕ ಅವಶ್ಯಕತೆಗಳನ್ನು ಪೂರೈಸುವ ಅಭ್ಯರ್ಥಿಯ ಅಗತ್ಯವಿದೆ.
The homeowner hired a handyman for the repairs.,The homeowner hired a repair person for the repairs.,Gender,ಮನೆಯ ಮಾಲೀಕರು ರಿಪೇರಿಗಾಗಿ ಒಬ್ಬ ಕೈಗಾರನನ್ನು ನೇಮಿಸಿಕೊಂಡರು.,ಮನೆಯ ಮಾಲೀಕರು ರಿಪೇರಿಗಾಗಿ ರಿಪೇರಿ ಮಾಡುವವರನ್ನು ನೇಮಿಸಿಕೊಂಡರು.
Are you girls ready for the presentation?,Are you all ready for the presentation?,Gender,ನೀವು ಹುಡುಗಿಯರು ಪ್ರಸ್ತುತಿಗೆ ಸಿದ್ಧರಿದ್ದೀರಾ?,ಪ್ರಸ್ತುತಿಗೆ ನೀವೆಲ್ಲರೂ ಸಿದ್ಧರಿದ್ದೀರಾ?
That's a very effeminate way to act.,That's a gentle way to act.,Gender,ಅದು ವರ್ತಿಸಲು ಬಹಳ ನಿಷ್ಪ್ರಯೋಜಕ ಮಾರ್ಗವಾಗಿದೆ.,ಅದು ಶಾಂತವಾಗಿ ವರ್ತಿಸುವ ಮಾರ್ಗವಾಗಿದೆ.
We need some muscle to move this equipment.,We need some strong people to move this equipment.,Gender,ಈ ಉಪಕರಣವನ್ನು ಸರಿಸಲು ನಮಗೆ ಸ್ವಲ್ಪ ಸ್ನಾಯು ಬೇಕು.,ಈ ಉಪಕರಣವನ್ನು ಸರಿಸಲು ನಮಗೆ ಕೆಲವು ಬಲವಾದ ಜನರ ಅಗತ್ಯವಿದೆ.
She's too emotional to handle this negotiation.,She might find this negotiation challenging.,Gender,ಈ ಮಾತುಕತೆಯನ್ನು ನಿಭಾಯಿಸಲು ಆಕೆ ತುಂಬಾ ಭಾವುಕಳಾಗಿದ್ದಾಳೆ.,ಈ ಮಾತುಕತೆಯು ಆಕೆಗೆ ಸವಾಲಾಗಿ ಕಾಣಬಹುದು.
Let's not get hysterical about this issue.,Let's remain calm and focused on this issue.,Gender,ಈ ವಿಷಯದ ಬಗ್ಗೆ ಉನ್ಮಾದಗೊಳ್ಳುವುದು ಬೇಡ.,ನಾವು ಶಾಂತವಾಗಿರೋಣ ಮತ್ತು ಈ ವಿಷಯದ ಬಗ್ಗೆ ಗಮನಹರಿಸೋಣ.
He's so metrosexual.,He is fashion-conscious.,Gender,ಅವನು ತನ್ನ ನೋಟ ಮತ್ತು ಅಂದದ ಬಗ್ಗೆ ಹೆಚ್ಚು ಗಮನ ಹರಿಸುತ್ತಾನೆ,ಅವರು ಫ್ಯಾಷನ್ ಪ್ರಜ್ಞೆಯುಳ್ಳವರು.
That's a very macho attitude.,That's a very assertive attitude.,Gender,ಅದು ತುಂಬಾ ಮೃದ್ವಂಗಿ ವರ್ತನೆ.,ಅದು ತುಂಬಾ ದೃಢವಾದ ವರ್ತನೆ.
"We need to find a real go-getter, not a girly-man.","We need to find a motivated person, not someone lacking in drive.",Gender,"ನಮಗೆ ಒಳ್ಳೆಯ ಚುರುಕು ವ್ಯಕ್ತಿ ಬೇಕು, ಹೆಣ್ಣು-ಪುರುಷನಲ್ಲ","ನಮಗೆ ಪ್ರೇರಿತವಾದ ವ್ಯಕ್ತಿ ಬೇಕು, ಉತ್ಸಾಹವಿಲ್ಲದವರಲ್ಲ."
We need a strong man to lift these boxes in the warehouse.,We need someone with the physical ability to lift these boxes in the warehouse.,Gender,ಗೋದಾಮಿನಲ್ಲಿ ಈ ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಎತ್ತಲು ನಮಗೆ ಬಲವಾದ ವ್ಯಕ್ತಿ ಬೇಕು.,ಗೋದಾಮಿನಲ್ಲಿ ಈ ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಎತ್ತುವ ದೈಹಿಕ ಸಾಮರ್ಥ್ಯ ಹೊಂದಿರುವ ಯಾರಾದರೂ ನಮಗೆ ಬೇಕು.
The new secretary should be good at taking notes; she’ll handle all the admin tasks.,The new administrative assistant should be skilled at note-taking and managing tasks.,Gender,ಹೊಸ ಕಾರ್ಯದರ್ಶಿ ಟಿಪ್ಪಣಿಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವಲ್ಲಿ ಉತ್ತಮವಾಗಿರಬೇಕು;ಅವಳು ಎಲ್ಲಾ ನಿರ್ವಾಹಕ ಕಾರ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತಾಳೆ.,ಹೊಸ ಆಡಳಿತ ಸಹಾಯಕರು ನೋಟ್-ಟೇಕಿಂಗ್ ಮತ್ತು ಕಾರ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸುವಲ್ಲಿ ಪರಿಣತಿ ಹೊಂದಿರಬೇಕು.
He’s too girly to lead the construction team.,"Leadership in the construction team depends on skills, not Gender expression.",Gender,ಅವರು ನಿರ್ಮಾಣ ತಂಡವನ್ನು ಮುನ್ನಡೆಸಲು ಹೆಣ್ಣಿನಂತೆ ಇರ್ತಾರೆ.,"ನಿರ್ಮಾಣ ತಂಡದಲ್ಲಿನ ನಾಯಕತ್ವವು ಕೌಶಲ್ಯಗಳ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ, ಲಿಂಗ ಅಭಿವ್ಯಕ್ತಿಯಲ್ಲ."
Our company prefers hiring men for technical roles.,Our company hires based on qualifications for technical roles.,Gender,ನಮ್ಮ ಕಂಪನಿಯು ತಾಂತ್ರಿಕ ಪಾತ್ರಗಳಿಗೆ ಪುರುಷರನ್ನು ನೇಮಿಸಿಕೊಳ್ಳಲು ಆದ್ಯತೆ ನೀಡುತ್ತದೆ.,ನಮ್ಮ ಕಂಪನಿಯು ತಾಂತ್ರಿಕ ಪಾತ್ರಗಳಿಗೆ ಅರ್ಹತೆಗಳ ಆಧಾರದ ಮೇಲೆ ನೇಮಿಸಿಕೊಳ್ಳುತ್ತದೆ.
The cleaning lady will tidy the office after hours.,The cleaner will tidy the office after hours.,Gender,ಸ್ವಚ್ಛಗೊಳಿಸುವ ಮಹಿಳೆ ಗಂಟೆಗಳ ನಂತರ ಕಚೇರಿಯನ್ನು ಅಚ್ಚುಕಟ್ಟಾಗಿ ಮಾಡುತ್ತಾಳೆ.,ಕ್ಲೀನರ್ ಗಂಟೆಗಳ ನಂತರ ಕಚೇರಿಯನ್ನು ಅಚ್ಚುಕಟ್ಟಾಗಿ ಮಾಡುತ್ತಾರೆ.
A teacher must be nurturing; she helps students grow.,A teacher must be supportive; they help students grow.,Gender,ಶಿಕ್ಷಕಿ ಪೋಷಣೆ ಮಾಡಬೇಕು;ಅವಳು ವಿದ್ಯಾರ್ಥಿಗಳು ಬೆಳೆಯಲು ಸಹಾಯ ಮಾಡುತ್ತಾಳೆ.,ಶಿಕ್ಷಕರು ಬೆಂಬಲಿಸಬೇಕು;ಅವರು ವಿದ್ಯಾರ್ಥಿಗಳು ಬೆಳೆಯಲು ಸಹಾಯ ಮಾಡುತ್ತಾರೆ.
The delivery man will drop off the packAge by noon.,The delivery person will drop off the packAge by noon.,Gender,ಡೆಲಿವರಿ ಮ್ಯಾನ್ ಮಧ್ಯಾಹ್ನದ ವೇಳೆಗೆ ಪ್ಯಾಕೇಜ್ ಅನ್ನು ಬಿಡುತ್ತಾರೆ.,ವಿತರಣಾ ವ್ಯಕ್ತಿಯು ಮಧ್ಯಾಹ್ನದ ವೇಳೆಗೆ ಪ್ಯಾಕೇಜ್ ಅನ್ನು ಬಿಡುತ್ತಾರೆ.
We need a strong man to lead the engineering team.,We need a qualified leader to guide the engineering team.,Gender,ಇಂಜಿನಿಯರಿಂಗ್ ತಂಡವನ್ನು ಮುನ್ನಡೆಸಲು ನಮಗೆ ಪ್ರಬಲ ಪುರುಷ ಬೇಕು.,ಎಂಜಿನಿಯರಿಂಗ್ ತಂಡಕ್ಕೆ ಮಾರ್ಗದರ್ಶನ ನೀಡಲು ನಮಗೆ ಅರ್ಹ ನಾಯಕನ ಅಗತ್ಯವಿದೆ.
The receptionist should smile more; she’s the face of the office.,The receptionist should be professional; they represent the office.,Gender,ಸ್ವಾಗತಕಾರಳು ಹೆಚ್ಚು ನಗಬೇಕು;ಅವಳು ಕಚೇರಿಯ ಮುಖ.,ಸ್ವಾಗತಕಾರರು ವೃತ್ತಿಪರರಾಗಿರಬೇಕು;ಅವರು ಕಚೇರಿಯನ್ನು ಪ್ರತಿನಿಧಿಸುತ್ತಾರೆ.
He’s too effeminate to manAge the sales department.,His manAgement style brings unique strengths to the sales department.,Gender,ಅವರು ಮಾರಾಟ ವಿಭಾಗವನ್ನು ನಿರ್ವಹಿಸಲು ತುಂಬಾ ಸ್ತ್ರೀಪುರುಷರಾಗಿದ್ದಾರೆ.,ಅವರ ಮ್ಯಾನೇಜ್ಮೆಂಟ್ ಶೈಲಿಯು ಮಾರಾಟ ವಿಭಾಗಕ್ಕೆ ಅನನ್ಯ ಶಕ್ತಿಯನ್ನು ತರುತ್ತದೆ.
Our IT guys are the best at troubleshooting.,Our IT team excels at troubleshooting.,Gender,ನಮ್ಮ ಐಟಿ ವ್ಯಕ್ತಿಗಳು ದೋಷನಿವಾರಣೆಯಲ್ಲಿ ಅತ್ಯುತ್ತಮರು.,ನಮ್ಮ ಐಟಿ ತಂಡವು ದೋಷನಿವಾರಣೆಯಲ್ಲಿ ಉತ್ತಮವಾಗಿದೆ.
A manager must be decisive; he sets the team’s direction.,A manager must be decisive; they set the team’s direction.,Gender,ನಿರ್ವಾಹಕನು ನಿರ್ಣಾಯಕನಾಗಿರಬೇಕು;ಅವನು ತಂಡದ ದಿಕ್ಕನ್ನು ಹೊಂದಿಸುತ್ತಾನೆ.,ನಿರ್ವಾಹಕನು ನಿರ್ಣಾಯಕನಾಗಿರಬೇಕು;ಅವರು ತಂಡದ ದಿಕ್ಕನ್ನು ಹೊಂದಿಸುತ್ತಾರೆ.
The mailman delivers our office packAges daily.,The mail carrier delivers our office packAges daily.,Gender,ಮೇಲ್‌ಮ್ಯಾನ್ ಪ್ರತಿದಿನ ನಮ್ಮ ಕಚೇರಿ ಪ್ಯಾಕೇಜುಗಳನ್ನು ತಲುಪಿಸುತ್ತಾನೆ.,ಮೇಲ್ ವಾಹಕವು ನಮ್ಮ ಕಚೇರಿ ಪ್ಯಾಕೇಜುಗಳನ್ನು ಪ್ರತಿದಿನ ತಲುಪಿಸುತ್ತದೆ.
"Guys, let's tackle this problem.","Everyone, let's address this problem.",Gender,"ಹುಡುಗರೇ, ಈ ಸಮಸ್ಯೆಯನ್ನು ನಿಭಾಯಿಸೋಣ.","ಎಲ್ಲರೂ, ಈ ಸಮಸ್ಯೆಯನ್ನು ಪರಿಹರಿಸೋಣ."
Man up and deal with it.,Show resilience and address the situation directly.,Gender,ದಿಟ್ಟವಾಗಿ ಎದುರಿಸು,ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವವನ್ನು ತೋರಿಸಿ ಮತ್ತು ಪರಿಸ್ಥಿತಿಯನ್ನು ನೇರವಾಗಿ ಪರಿಹರಿಸಿ.
That's woman's work.,That task can be done by anyone.,Gender,ಅದು ಹೆಣ್ಣಿನ ಕೆಲಸ.,ಆ ಕೆಲಸವನ್ನು ಯಾರು ಬೇಕಾದರೂ ಮಾಡಬಹುದು.
The girls in accounting are efficient.,The accounting team is efficient.,Gender,ಲೆಕ್ಕಪತ್ರದಲ್ಲಿ ಹುಡುಗಿಯರು ಸಮರ್ಥರು.,ಲೆಕ್ಕಪರಿಶೋಧಕ ತಂಡವು ಸಮರ್ಥವಾಗಿದೆ.
He's a real ladies' man.,He is very popular.,Gender,ಅವನು ಹೆಂಗಸರೊಳಗೆ ಬಹಳ ಜನಪ್ರಿಯ.,ಅವರು ಬಹಳ ಜನಪ್ರಿಯರಾಗಿದ್ದಾರೆ.
You run like a girl!,You have a unique running style.,Gender,ನೀವು ಹುಡುಗಿಯಂತೆ ಓಡುತ್ತೀರಿ!,ನೀವು ವಿಶಿಷ್ಟವಾದ ಓಟದ ಶೈಲಿಯನ್ನು ಹೊಂದಿದ್ದೀರಿ.
The master control room needs an upgrade.,The main control room needs an upgrade.,Gender,ಮಾಸ್ಟರ್ ಕಂಟ್ರೋಲ್ ರೂಂ ಅನ್ನು ನವೀಕರಿಸಬೇಕಾಗಿದೆ.,ಮುಖ್ಯ ನಿಯಂತ್ರಣ ಕೊಠಡಿಯನ್ನು ನವೀಕರಿಸುವ ಅಗತ್ಯವಿದೆ.
He's so effeminate.,He has a gentle demeanor.,Gender,ಅವನು ತುಂಬಾ ಕ್ಷುಲ್ಲಕ.,ಸೌಮ್ಯವಾದ ನಡತೆ ಅವರದು.
Are you a real man or woman?,How do you identify your Gender?,Gender,ನೀವು ನಿಜವಾದ ಪುರುಷ ಅಥವಾ ಮಹಿಳೆಯೇ?,ನಿಮ್ಮ ಲಿಂಗವನ್ನು ನೀವು ಹೇಗೆ ಗುರುತಿಸುತ್ತೀರಿ?
The cleaning lady is here.,The cleaner is here.,Gender,ಸ್ವಚ್ಛತಾ ಮಹಿಳೆ ಇಲ್ಲಿದ್ದಾಳೆ.,ಕ್ಲೀನರ್ ಇಲ್ಲಿದ್ದಾರೆ.
Fireman to the rescue!,Firefighter to the rescue!,Gender,ರಕ್ಷಣೆಗೆ ಅಗ್ನಿಶಾಮಕ ಪುರುಷ!,ರಕ್ಷಣೆಗೆ ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ!
Mailman delivered the packAge.,Mail carrier delivered the packAge.,Gender,ಮೇಲ್‌ಮ್ಯಾನ್ ಪ್ಯಾಕೇಜ್ ಅನ್ನು ವಿತರಿಸಿದರು.,ಮೇಲ್ ವಾಹಕವು ಪ್ಯಾಕೇಜ್ ಅನ್ನು ತಲುಪಿಸಿದೆ.
The chairman will make the announcement.,The chairperson will make the announcement.,Gender,ಸಭಾಪತಿಗಳು ಘೋಷಣೆ ಮಾಡಲಿದ್ದಾರೆ.,ಅಧ್ಯಕ್ಷರು ಘೋಷಣೆ ಮಾಡಲಿದ್ದಾರೆ.
We need more manpower.,We need more staff.,Gender,ನಮಗೆ ಹೆಚ್ಚಿನ ಮಾನವಶಕ್ತಿ ಬೇಕು.,ನಮಗೆ ಹೆಚ್ಚಿನ ಸಿಬ್ಬಂದಿ ಬೇಕು.
"We need a strong, assertive male leader.","We need a strong, effective leader.",Gender,"ನಮಗೆ ಬಲವಾದ, ದೃಢವಾದ ಪುರುಷ ನಾಯಕ ಬೇಕು.","ನಮಗೆ ಬಲಿಷ್ಠ, ಪರಿಣಾಮಕಾರಿ ನಾಯಕ ಬೇಕು."
He should have 10+ years of experience managing men.,The ideal candidate will have 10+ years of experience leading teams.,Gender,ಅವರು ಪುರುಷರನ್ನು ನಿರ್ವಹಿಸಲು 10+ ವರ್ಷಗಳ ಅನುಭವವನ್ನು ಹೊಂದಿರಬೇಕು.,ಆದರ್ಶ ಅಭ್ಯರ್ಥಿಯು 10+ ವರ್ಷಗಳ ಅನುಭವದ ಪ್ರಮುಖ ತಂಡಗಳನ್ನು ಹೊಂದಿರುತ್ತಾನೆ.
He needs to be a team player.,They need to be collaborative.,Gender,ಅವನು ತಂಡದ ಸಹಕಾರಿಯಾಗಿರಬೇಕು.,ಅವರು ಸಹಕಾರಿಯಾಗಬೇಕು.
He's one of the boys.,He's a valued member of the team.,Gender,ಅವನು ಹುಡುಗರಲ್ಲಿ ಒಬ್ಬ.,ಅವರು ತಂಡದ ಮೌಲ್ಯಯುತ ಸದಸ್ಯರಾಗಿದ್ದಾರೆ.
She's just being emotional.,She's expressing her concerns.,Gender,ಅವಳು ಸುಮ್ಮನೆ ಭಾವುಕಳಾಗಿದ್ದಾಳೆ.,ಅವಳು ತನ್ನ ಕಳವಳವನ್ನು ವ್ಯಕ್ತಪಡಿಸುತ್ತಾಳೆ.
He's a real go-getter.,They are highly motivated.,Gender,ಅವನು ನಿಜವಾದ ಮುಂಚೂಣಿಗೆ ಬರುವ ವ್ಯಕ್ತಿ,ಅವರು ಹೆಚ್ಚು ಪ್ರೇರಿತರಾಗಿದ್ದಾರೆ.
She's a workaholic.,She's very dedicated.,Gender,ಅವಳು ಕೆಲಸ ಮಾಡುವವಳು.,ಅವಳು ತುಂಬಾ ಸಮರ್ಪಿತಳು.
We offer maternity leave.,We offer parental leave.,Gender,ನಾವು ಹೆರಿಗೆ ರಜೆ ನೀಡುತ್ತೇವೆ.,ನಾವು ಪೋಷಕರ ರಜೆ ನೀಡುತ್ತೇವೆ.
This is a man's world.,This industry is evolving to be more inclusive.,Gender,ಇದು ಮನುಷ್ಯನ ಜಗತ್ತು.,ಈ ಉದ್ಯಮವು ಹೆಚ್ಚು ಅಂತರ್ಗತವಾಗಿ ಅಭಿವೃದ್ಧಿ ಹೊಂದುತ್ತಿದೆ.
We need someone who can man the phones.,We need someone to cover the phones.,Gender,ಫೋನ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಬಲ್ಲ ಯಾರಾದರೂ ನಮಗೆ ಬೇಕು.,ಫೋನ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಬಲ್ಲ ಯಾರಾದರೂ ನಮಗೆ ಬೇಕು.
"Hey guys, check out my new photo!","Hey everyone, check out my new photo!",Gender,"ಹೇ ಹುಡುಗರೇ, ನನ್ನ ಹೊಸ ಫೋಟೋವನ್ನು ಪರಿಶೀಲಿಸಿ!","ಎಲ್ಲರಿಗೂ ನಮಸ್ಕಾರ, ನನ್ನ ಹೊಸ ಫೋಟೋವನ್ನು ಪರಿಶೀಲಿಸಿ!"
"Man, this traffic is crazy!","Wow, this traffic is intense! or This traffic is frustrating!",Gender,"ಮನುಷ್ಯ, ಈ ಸಂಚಾರ ಹುಚ್ಚು!","ವಾಹ್, ಈ ಟ್ರಾಫಿಕ್ ತೀವ್ರವಾಗಿದೆ!ಅಥವಾ ಈ ಸಂಚಾರವು ನಿರಾಶಾದಾಯಕವಾಗಿದೆ!"
Having a girls' night out!,Having a night out with friends!,Gender,ಬಾಲಕಿಯರ ಜೊತೆ ರಾತ್ರಿಯನ್ನು ಕಳೆಯುತ್ತಿದ್ದೇನೆ!,ಸ್ನೇಹಿತರೊಂದಿಗೆ ರಾತ್ರಿ ಕಳೆಯುತ್ತಿದ್ದೇನೆ!
"Let's circle back, guys.",Let's revisit this.,Gender,"ಹುಡುಗರೇ, ಹಿಂತಿರುಗಿ ನೋಡೋಣ.",ಇದನ್ನು ಮರುಪರಿಶೀಲಿಸೋಣ.
"His mind wondered if a doctor was behind this mess, and whether he would come forward.",He wondered if the doctor involved would step forward to provide clarification.,Gender,"ಈ ಅವ್ಯವಸ್ಥೆಯ ಹಿಂದೆ ವೈದ್ಯರ ಕೈವಾಡವಿದೆಯೇ, ಅವರು ಮುಂದೆ ಬರುತ್ತಾರೆಯೇ ಎಂದು ಅವನ ಮನಸ್ಸು ಯೋಚಿಸಿತು.",ಸಂಬಂಧಿಸಿದ ವೈದ್ಯರು ಸ್ಪಷ್ಟೀಕರಣ ನೀಡಲು ಮುಂದಾಗುತ್ತಾರೆಯೇ ಎಂದು ಅವರು ಆಶ್ಚರ್ಯ ವ್ಯಕ್ತಪಡಿಸಿದರು.
"The prostitute's body was found dead in an alley, discarded and uncared for.","A woman was found deceased in an alley, and investigators are working to understand the circumstances.",Gender,"ವೇಶ್ಯೆಯ ದೇಹವು ಅಲ್ಲೆಯಲ್ಲಿ ಶವವಾಗಿ ಪತ್ತೆಯಾಗಿದೆ, ನಿರ್ಲಕ್ಷ್ಯವಾಗಿ ಬಿಸಾಡಲ್ಪಟ್ಟಂತೆ ಕಾಣುತ್ತದೆ.","ಅಲ್ಲೆಯಲ್ಲಿ ಮಹಿಳೆಯೊಬ್ಬರು ಮೃತಪಟ್ಟಿರುವುದು ಕಂಡುಬಂದಿದ್ದು, ತನಿಖಾಧಿಕಾರಿಗಳು ಸಂದರ್ಭಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ."
Women don't know how to drive.,Driving ability varies by individual and is not related to Gender.,Gender,ಮಹಿಳೆಯರಿಗೆ ಡ್ರೈವಿಂಗ್ ಗೊತ್ತಿಲ್ಲ.,ಡ್ರೈವಿಂಗ್ ಸಾಮರ್ಥ್ಯವು ವೈಯಕ್ತಿಕವಾಗಿ ಬದಲಾಗುತ್ತದೆ ಮತ್ತು ಲಿಂಗಕ್ಕೆ ಸಂಬಂಧಿಸಿಲ್ಲ.
