ID,non-inclusive German,inclusive German
261,Könnt ihr den Bericht bis morgen fertigstellen?,Kann der Bericht bis morgen fertiggestellt werden?
262,Das Unternehmen bietet jungen Müttern ausgezeichnete Mutterschaftsurlaubsleistungen.,Das Unternehmen bietet frischgebackenen Eltern hervorragende Elternzeitleistungen an.
263,Während ihres Mutterschaftsurlaubs konzentrierte sie sich auf die Betreuung des Babys.,Während ihrer Elternzeit wurde sich auf die Betreuung des Babys konzentriert.
264,"Der Mutterschaftsurlaub ist für Mütter von entscheidender Bedeutung, um eine Bindung zu ihren Neugeborenen aufzubauen.","Die Elternzeit ist für Eltern von entscheidender Bedeutung, um eine Bindung zu dem Neugeborenen aufzubauen."
265,Anspruch auf den verlängerten Mutterschaftsurlaub haben nur Mütter.,Alle Eltern haben Anspruch auf den verlängerten Familienurlaub.
266,"Der Mutterschaftsurlaub ist eine Zeit für Mütter, sich zu erholen und zu pflegen.","Familienurlaub ist eine Zeit für Eltern, sich zu erholen und zu pflegen."
267,"Der Manager sagte, er werde das Projekt bis Montag prüfen.","Das Management sagte, es würden das Projekt bis Montag prüfen."
268,Jeder Student muss seine Hausarbeit fristgerecht abgeben.,Alle Studierenden müssen ihre Hausarbeiten fristgerecht abgeben.
269,"Möchte ein Arzt Medikamente verschreiben, muss er die Vorgeschichte des Patienten berücksichtigen.","Wenn eine ärztliche Fachkraft Medikamente verschreiben möchte, muss sie die Vorgeschichte der zu behandelnden Person berücksichtigen."
270,"Sagen Sie dem Koch, dass ihm das Essen hervorragend gelungen ist.","Sagen Sie dem Koch, dass das Essen hervorragend gelungen ist."
271,"Wenn ein Ingenieur erfolgreich sein will, muss er sich laufend weiterbilden.","Wenn Ingenieure erfolgreich sein wollen, müssen sie sich laufend weiterbilden."
272,Sie muss ihren Bericht bis zum Ende des Tages einreichen.,Der Bericht muss bis zum Ende des Tages eingereicht werden.
273,"Wenn sie ankommt, bitten Sie sie, an der Besprechung teilzunehmen.","Wenn sie ankommen, bitten Sie sie, an der Besprechung teilzunehmen."
274,"Wenn sie Hilfe braucht, sagen Sie ihr, sie soll uns anrufen.","Wenn Hilfe benötigt wird, sollen sie uns anrufen."
275,Sie ist eine talentierte Künstlerin;Ihre Arbeit ist beeindruckend.,"Es handelt sich um eine künstlerisch begabte Person, deren Arbeit beeindruckend ist."
276,"Stellen Sie sicher, dass sie ihre Einladung zur Veranstaltung erhält.","Es muss sichergestellt werden, dass sie eine Einladung zur Veranstaltung erhalten."
277,Mein Mann wird zum Abendessen zu uns kommen.,Meine Begleitung wird zum Abendessen zu uns kommen.
278,Die Veranstaltung steht Mitarbeitern und ihren Ehemännern offen.,Die Veranstaltung steht Mitarbeitenden und deren Begleitung offen.
279,"Wenn eine Frau beruflich verreist, kümmert sich oft ihr Mann um die Kinder.","Wenn jemand beruflich verreist, kümmert sich oft die andere Person um die Kinder."
280,Am Wochenende arbeitet ihr Mann gern im Garten.,Ihr Partner arbeitet am Wochenende gern im Garten.
281,Eine Frau kann zu besonderen Anlässen Geschenke für ihren Mann kaufen.,Ein Partner kann zu besonderen Anlässen Geschenke für seinen Ehepartner kaufen.
282,Meine Frau und ich nehmen am Samstag an der Gala teil.,Meine Begleitung und ich nehmen am Samstag an der Gala teil.
283,Die Hausfrau erledigte alle Hausarbeiten.,Die im Haushalt tätige Person erledigte alle Hausarbeiten.
284,Er stellte mich der Familie seiner Frau vor.,Ich wurde der Familie vorgestellt.
285,Die Einladung ist für Sie und Ihre Frau.,Die Einladung richtet sich an Sie und Ihren Partner.
286,Seine Frau ist eine erfolgreiche Unternehmerin.,Sein Ehepartner ist ein erfolgreicher Unternehmer.
288,"Hören Sie auf zu jammern und seien Sie bereit, mit der Situation umzugehen.","Hören Sie auf zu jammern und zeigen Sie Widerstandskraft, um mit der Situation umzugehen."
289,"Ihm wurde gesagt, er solle sich in schwierigen Zeiten bemannen.","Die Person wurde ermutigt, in schwierigen Zeiten stark zu sein."
290,"Um in diesem Bereich erfolgreich zu sein, muss man bemannt und aggressiv sein.","Um in diesem Bereich erfolgreich zu sein, muss man Belastbarkeit zeigen und proaktiv sein."
291,"Es ist Zeit, sich zu bemannen, wenn Sie das durchstehen wollen.","Es ist Zeit, stark zu sein, wenn man das durchstehen will."
292,Sie müssen sich nur aufraffen und mit der Situation umgehen.,Man muss nur stark sein und mit der Situation umgehen.
293,"Ihr wurde gesagt, sie solle aufstehen und mit dem Stress klarkommen.","Der Person wurde geraten, Resilienz zu zeigen und mit dem Stress umzugehen."
294,"Warum reißt du dich nicht zusammen, anstatt dich zu beschweren?","Warum beweisen Sie nicht Belastbarkeit, anstatt sich zu beschweren?"
295,"Wenn du erfolgreich sein willst, musst dich zusammenreißen.","Wenn man erfolgreich sein will, musst man sich zusammenreißen."
296,"Haben Sie keine Angst, stellen Sie sich einfach Ihren Ängsten.","Hab keine Angst, sei einfach stark und stelle dich deinen Ängsten."
297,Der Erfolg des Unternehmens ist auf die qualifizierten Arbeitskräfte in der Fabrik zurückzuführen.,Der Erfolg des Unternehmens ist auf das qualifizierte Personal im Werk zurückzuführen.
298,"Wir benötigen mehr Arbeitskräfte, um dieses Projekt termingerecht abzuschließen.","Wir benötigen mehr Arbeitskräfte, um dieses Projekt termingerecht abzuschließen."
299,Dank der engagierten Einsatzkräfte vor Ort war die Veranstaltung ein Erfolg.,Dank des engagierten Personals vor Ort war die Veranstaltung ein Erfolg.
301,Für den bevorstehenden Wahlkampf fehlt es uns an Mitarbeitern.,Für den bevorstehenden Wahlkampf fehlt uns das Personal.
302,"Der Laden war voller Männer und Frauen, die die Schaufensterpuppen für das Schaufenster anzogen.","Der Laden war voller Leute, die die Schaufensterpuppen für das Schaufenster anzogen."
303,"Sie ordnete die Schaufiguren im Schaufenster an, um mehr Kunden anzulocken.","Die Fachkraft ordnete die Schaufensterpuppen im Schaufenster an, um mehr Kundschaft anzulocken."
307,Ein Maniküre-Set ist ein perfektes Geschenk für deine Freundin. ,"Ein Maniküre-Set ist ein perfektes Geschenk für alle, die gerne ihre Nägel pflegen"
309,"Frauen lieben es normalerweise, sich am Wochenende eine Maniküre gönnen zu lassen.",Viele Menschen verbringen ihre Wochenenden gerne mit der Nagelpflege.
310,Nur Frauen können eine gute Maniküre schätzen.,Jeder kann die eine gute Maniküre schätzen.
311,Im Gegensatz zu Frauen brauchen Männer keine Maniküre.,"Eine Maniküre ist ein Angebot an alle, die ihre Nägel pflegen möchten."
312,Der wohlhabende Geschäftsmann wurde stets von einem treuen Diener begleitet.,Die wohlhabende Geschäftsführung wurde stets von einer treuen bediensteten Person begleitet.
313,"Der Gutsherr rief einen Diener herbei, um eine Nachricht zu überbringen.","Die Gutsverwaltung rief eine Person vom Dienstpersonal herbei, um eine Nachricht zu überbringen."
314,Der Diener bereitete das Zimmer für die Ankunft der Gäste vor.,Der Mitarbeitende bereitete das Zimmer für die Ankunft der Gäste vor.
315,In der Geschichte befolgte der Wärter ruhig und ohne Fragen die Anweisungen.,"In der Geschichte befolgte die bedienstete Person stillschweigend die Befehe, ohne sie zu hinterfragen."
316,Bei den täglichen Aufgaben war die Familie stark auf ihren treuen Diener angewiesen.,Bei den täglichen Aufgaben war die Familie stark auf ihr treues Dienstpersonal angewiesen.
326,Das Komitee prüft sein Manuskript immer noch.,Der Ausschuss prüft das Dokument immer noch.
327,Der Vorarbeiter leitet sein Team effektiv.,Die Leitungsperson setzt ihr Team effektiv ein.
328,"Jeder Unternehmer sollte über vielfältige Fähigkeiten verfügen, um erfolgreich zu sein.","Die Unternehmensleitung solte über vielfältige Fähigkeiten verfügen, um erfolgreich zu sein."
329,"Von einem Sprecher wird erwartet, dass er vielfältige Aufgaben mit Leichtigkeit bewältigen kann.","Von der Pressestelle wird erwartet, dass sie vielfältige Aufgaben übernehmen kann."
330,Ein Feuerwehrmann hat im Einsatz oft mit vielfältigen Herausforderungen zu kämpfen.,Feuerwehrleute haben im Einsatz oft mit mehreren Herausforderungen zu kämpfen.
331,"An dem Projekt waren viele Ingenieure beteiligt, aber der Chefingenieur war ein Mann.","An dem Projekt waren viele Ingenieurinnen und Ingenieure beteiligt, aber der die Projektleitung wurde von einem Mann übernommen."
332,Die Puppe wird zur Demonstration von CPR-Techniken für Medizinstudenten verwendet.,Der Dummy wird zur Demonstration von CPR-Techniken für Medizinstudierenden verwendet.
334,"Künstler verwenden oft eine Puppe, um das Zeichnen menschlicher Figuren zu üben.","Kunstschaffende verwenden oft eine Puppe, um das Zeichnen menschlicher Figuren zu üben."
338,Dem Bauleiter obliegt die Überwachung der Baustelle.,Die Überwachung der Baustelle obliegt der Bauleitung.
339,"Der Feuerwehrmann stürmte in das Gebäude, um Leben zu retten.","Die Feuerwehr stürmte in das Gebäude, um Leben zu retten."
340,Ein Polizist stellte den Strafzettel wegen Geschwindigkeitsüberschreitung aus.,Die Polizeistellte den Strafzettel wegen Geschwindigkeitsüberschreitung aus.
341,"Der Moderator im Wetterbericht kündigte an, dass es morgen regnen würde.","Der Wetterbericht sagte, dass es morgen regnen würde."
342,Der Regisseur wählte neue Kostüme für die Tänzerinnen.,Der Regisseur wählte neue Kostüme für die Darsteller.
343,Die Showgirls übten unermüdlich ihre Tanzroutine.,Die Darstellenden übten unermüdlich ihre Tanzroutine.
344,Nach der Veranstaltung erhielten die Showgirls stehende Ovationen.,Nach der Veranstaltung erhielten die Künstler stehende Ovationen.
345,Die Gala bot einen atemberaubenden Auftritt der Showgirls.,Die Gala zeichnete sich durch eine atemberaubende Darbietung der Darstellenden aus.
347,Der Vorstandsvorsitzende wird morgen seine Stellungnahme abgeben.,Der Vorstandsvorsitz wird morgen seine Stellungsname abgeben.
348,Der Vorsitzende war für die Organisation der Sitzung verantwortlich.,Der Vorsitz war für die Organisation der Sitzung verantwortlich.
349,Die Entscheidung des Vorsitzenden wurde dem gesamten Unternehmen bekannt gegeben.,Die Entscheidung des Vorsitzes wurde dem gesamten Unternehmen bekanntgegeben.
350,Als Vorsitzender hat er in allen Belangen das letzte Wort.,Als Vorsitz hat er in allen Belangen das letzte Wort.
351,Der Vorsitzende begrüßte alle Teilnehmer der Jahreskonferenz.,Der Vorsitz begrüßt alle Teilnehmenden der Jahreskonferenz.
352,Während der Parade regelte der Polizist den Verkehr.,Während der Parade regelt die Poizei den Verkehr.
353,"Wenn Sie einen Notfall haben, rufen Sie einen Polizisten.","Wenn Sie einen Notfall haben, rufen Sie die Polizei."
354,Der Polizist an der Ecke ist sehr hilfsbereit.,Die Polizei an der Ecke ist sehr hilfsbereit.
355,"Die Aufgabe eines Polizisten besteht darin, die Gemeinschaft zu schützen.","Die Aufgabe der Polizei besteht darin, die Gemeinschaft zu schützen."
356,Mein Nachbar ist ein pensionierter Polizist.,Aus meiner Nachbarschaft war jemand bei der Polizei.
357,"Der Feuerwehrmann stieg schnell die Leiter hinauf, um die Katze zu retten.","Die Einsatzkraft stieg schnell die Leiter hinauf, um die Katze zu retten."
358,"Als der Alarm ertönte, eilten die Feuerwehrmänner zum Unfallort.","Als der Alarm ertönte, eilten die Einsatzkräfte der Feuerwehr zum Unfallort."
359,"Mein Cousin möchte bei der Feuerwehr arbeiten, wenn er groß ist.",Mein Verwandter möchte später mal bei der Feuerwehr arbeiten.
360,Der tapfere Feuerwehrmann löschte den Brand in Rekordzeit.,Die tapfere Eiomsatzkraft löschte den Brand in Rekordzeit
361,"Es erfordert viel Mut, ein Feuerwehrmann zu sein.","Es erfordert viel Mut, bei der Feuerwehr zu arbeiten."
362,Die Flugbegleiterin begrüßte alle Passagiere beim Einsteigen.,Die Flugbegleitung begrüßte alle Passagiere beim Einsteigen.
363,"Fragen Sie die Stewardess, falls Sie ein Kissen oder eine Decke benötigen. ","Fragen Sie die Flugbegleitung, falls Sie ein Kissen oder eine Decke benötigen."
364,Der Flugbegleiter zeigt Ihnen den Umgang mit der Schwimmweste.,Die Flugbegleitung zeigt Ihnen den Umgang mit der Schwimmweste.
365,Die Flugbegleiterin servierte den Passagieren Getränke.,Die Flugbegleitung servierte den Reisenden Getränke.
366,Die Stewardess gab die Ankunftszeit des Fluges bekannt.,Die Flugbegleitung gab die Ankunftszeit des Fluges bekannt.
367,Der Unternehmer besprach seinen Vorschlag bei dem Treffen.,Die Geschäftsleitung besprach seinen Vorschlag bei dem Treffen
368,"Ein erfolgreicher Geschäftsmann weiß, wie man Geschäfte aushandelt.","Erfolgreiche Unternehmensleitungen wissen, wie man Geschäfte aushandelt."
369,Die Geschäftsmänner versammelten sich zur Jahreskonferenz.,Die Geschäftsleute versammelten sich zur Jahreskonferenz.
370,"Jeder junge Geschäftsmann träumt davon, ein großes Unternehmen zu besitzen.","Jeder junge Unternehmer träumt davon, ein großes Unternehmen zu besitzen."
372,Der Kongressabgeordnete legte dem Ausschuss einen neuen Gesetzentwurf vor.,Mehrere Abgeordnete legten dem Ausschuss einen neuen Gesetzentwurf vor.
377,Der Postbote hat mir das Paket heute Morgen nach Hause geliefert.,Die Postzustellung hat das Paket heute Morgen zu mir nach Hause geliefert.
379,"Unsere Kinder lieben es, jeden Nachmittag dem Postboten zuzuwinken.","Unsere Kinder lieben es, jeden Nachmittag zu winken, wenn die Post geliefert wird."
381,"Wenn Sie Fragen haben, fragen Sie einfach den Postboten, wenn er vorbeikommt.","Wenn Sie Fragen haben, fragen Sie einfach bei der Lieferung."
382,"Um das Projekt termingerecht fertigzustellen, ist sind viele Mitarbeiter erforderlich.","Um das Projekt termingerecht fertigzustellen, ist viel Personal erforderlich."
383,"Wir benötigen mehr Mitarbeiter, um den Ansturm im Sommer bewätigen zu können.","Wir benötigen mehr Personal, um den Ansturm im Sommer bewältigen zu können."
384,Der Erfolg des Unternehmens ist auf die engagierten Mitarbeiter hinter den Kulissen zurückzuführen.,Der Erfolg des Unternehmens ist auf die engagierten Mitarbeitenden hinter den Kulissen zurückzuführen.
385,Unsere Veranstaltungen sind stark auf ehrenamtliche Mitarbeiter angewiesen.,Unsere Veranstaltungen sind stark auf ehrenamtliche Mitarbeitende angewiesen.
386,Für die nächste Phase werden auf der Baustelle zusätzliche Arbeiter benötigt.,Für die nächste Phase werden auf der Baustelle zusätzliche Arbeitskräfte benötigt.
392,Der Verkäufer des Monats erhält eine Prämie.,Die Verkaufskraft des Monats erhält eine Prämie.
393,"Wenn ein Verkäufer Hilfe benötigt, sollte er sich an den Manager wenden.","Wenn eine Verkaufskraft Hilfe benötigt, sollte sie sich an den Manager wenden."
394,"Ein guter Verkäufer weiß, wie man ein Geschäft abschließt.","Eine gute Verkaufskraft weiß, wie man ein Geschäft abschließt."
395,Der neue Verkäufer beeindruckte alle mit seiner Präsentation.,Die neue Verkaufskraft beeindruckte alle mit ihrer Präsentation.
396,Sie sind die Top-Verkäufer im Unternehmen.,Sie sind die Top-Verkaufskräfte im Unternehmen.
397,Der Wetterreporter sagte ein sonniges Wochenende voraus.,Der Wetterbericht sagte ein sonniges Wochenende voraus.
398,Mein Lieblingswetterreporter liefert immer genaue Vorhersagen.,Mein Lieblingssender liefert immer genaue Vorhersagen.
399,Der Wetterreporter warnte uns vor dem aufziehenden Sturm.,Der Wetterbericht warnte vor einem aufziehenden Sturm.
402,Der Vorgesetzte ist für die Aufgabenverteilung an die Mitarbeiter verantwortlich.,Der Vorgesetzte ist für die Aufgabenverteilung an die Mitarbeitenden verantwortlich.
403,"Sprechen Sie mit dem Vorgesetzten, wenn Sie auf der Baustelle Probleme haben.","Sprechen Sie mit der Bauleitung, wenn Sie auf der Baustelle Probleme haben."
404,Der Vorgesetzte wird die Sitzung heute Nachmittag leiten.,Die Sitzung heute Nachmittag wird vom Vorsitz geleitet.
405,"Der Vorgesetzte stellte sicher, dass alle Sicherheitsprotokolle befolgt wurden.","Der Vorsitz stellte sicher, dass alle Sicherheitsprotokolle befolgt wurden."
406,"Wenn Sie Sicherheitsbedenken haben, melden Sie diese dem Vorgesetzten.",Melden Sie Sicherheitsbedenken dem Vorsitz.
407,Für die Kommunikation zwischen den beiden Abteilungen benötigen wir einen Vermittler.,Für die Kommunikation zwischen den beiden Abteilungen benötigen wir jemanden zur Vermittlung.
408,Der Vermittler hat den Deal erfolgreich vermittelt.,Die Vermittlung des Deals war erfolgreich.
409,Für die Bearbeitung von Kundenbeschwerden ist ein Vermittler unerlässlich.,Für die Bearbeitung von Kundenbeschwerden ist jemand zur Vermittlung unerlässlich.
410,"Lassen Sie uns einen Vermittler beauftragen, die Logistik zu verwalten.","Lassen Sie uns eine externe Stelle beauftragen, die Logistik zu Verwalten."
411,Der Vermittler in Verhandlungen muss unparteiisch sein.,Die vermittelnde Person muss in Verhandlungen unparteiisch sein
412,"Der Reparaturtechniker kam, um das undichte Waschbecken zu reparieren.","Die Reparaturfachkraft kam, um das undichte Waschbecken zu reparieren"
413,"Wenn die Klimaanlage nicht funktioniert, rufen Sie den Reparaturtechniker an.","Rufen Sie den Reparaturservice an, wenn die Klimaanlage nicht funktioniert."
414,"Sie wartete den ganzen Morgen darauf, dass der Reparaturtechniker auftauchte.","Sie wartete den ganzen Morgen darauf, dass eine Reparaturfachkraft auftaucht. "
415,Der Reparaturtechniker hat hervorragende Arbeit bei der Reparatur des Autos geleistet.,Die Werkstatt hat hervorragende Arbeit bei der Reparatur des Autos geleistet.
416,"Fragen Sie den Reparaturtechniker, wie lange die Arbeit dauern wird.","Fragen Sie die Reparaturfachkraft, wie lange die Arbeit dauern wird."
417,Der Kunsthandwerker stellte seine Arbeiten auf der Kunstmesse aus.,Die im Kunsthandwerk tätige Person stellte ihre Arbeiten auf der Kunstmesse aus.
419,Für die Renovierung haben wir einen erfahrenen Handwerker engagiert.,Für die Renovierung haben wir eine erfahrene Fachkraft engagiert.
420,Die Kunsthandwerker wurden für ihr Engagement für das Gemeinschaftsprojekt geehrt.,Die Handwerkenden wurden für ihr Engagement für das Gemeinschaftsprojekt geehrt.
421,Die Handwerker verbesserten ihre Fähigkeiten durch jahrelange Übung.,Die Handwerkenden verbesserten ihre Fähigkeiten durch jahrelange Übung.
422,Der Fischer hat gestern einen riesigen Fisch gefangen.,Die in der Fischerei tätige Person har gestern einen riesigen Fisch gefangen.
424,Die örtlichen Fischer erzählten ihre Geschichten vom Meer.,Die örtlichen Fischerleute erzählten ihre Geschichten vom Meer.
425,"Wenn sie erwachsen ist, möchte sie gerne Fischer werden.","Wenn sie erwachsen ist, möchte sie gerne Fischerin werden."
426,Der Angelwettbewerb steht allen Fischern in der Region offen.,Der Angelwettbewerb steht ein Fischerleuten in der Region offen.
427,Der Barkeeper servierte uns den ganzen Abend Getränke.,Die Servicekraft an der Bar servierte und den ganzen Abend Getränke.
428,Sie fragte den Barkeeper nach einem Cocktailrezept.,Sie fragte die Servicekraft an der Bahn nach einem Cocktailrezept.
429,Nach seinem Studium möchte er Barkeeper werden.,"Es wäre ein Traum, an einer Bar zu arbeiten."
430,"Der Barkeeper war sehr geschickt darin, Cocktails zu mixen.","Die Servicekraft an der Bar war sehr Geschick darin, Cocktails zu mixen."
431,Für die arbeitsreiche Saison stellten sie einen neuen Barkeeper ein.,Für die arbeitsreiche Saison stellten sie eine neue Servicekraft für die Bar ein.
432,Der Moderator berichtete live vom Tatort.,Die Moderation erfolgt live vom Tatort.
433,"Als Moderator verfügen sie über eine Stimme, die sich gut für Nachrichtenberichte eignet.",Seine Stimme ist gut für die Moderation von Nachrichtenberichten geeignet.
434,Der Moderator verabschiedete sich mit seinem typischen Schlagwort.,Am Ende der Moderation folgte immer ein typischer Abchied.
435,Die Show wird seit Jahren vom selben Moderator moderiert.,Die Moderation wird seit Jahren von der selben Person übernommen.
437,Der Kameramann baute seine Ausrüstung für die Aufnahme auf.,Die Kamerafachpersonen baute ihre Ausrüstung für die Aufnahme auf.
439,"Ich werde den Kameramann bitten, die Beleuchtung anzupassen.","Ich werde die Kamerafachperson bitten, die Beleuchtung anzupassen"
440,"Das Filmteam besteht aus einem Regisseur, einem Kameramann und einem Tontechniker.","Im Filmteam übernimmt eine Person, die Regie, eine andere, die Kameraführung und eine weitere die Tontechnik."
441,Der Kameramann hat die Szene wunderschön eingefangen.,Die Kamerafachpersonen hat die Szene wunderschön eingefangen.
442,Der Sprecher sprach gegenüber den Medien über die neue Unternehmenspolitik.,Die neue Unternehmenspolitik wurde den Medien vorgestellt.
443,Als Sprecher der Gruppe hielten sie die Eröffnungsrede.,Die Repräsentation der Gruppe hielt die Eröffnungsrede.
444,Der Sprecher gab die Wahlergebnisse bekannt.,Die Pressestelle gab die Wahlergebnisse bekannt.
445,Der Sprecher hatte ein tolles Verhältnis zum Publikum.,Die vortragende Person hatte ein tolles Verhältnis zum Publikum.
446,Der Sprecher beantwortete alle Fragen der Presse.,Die Öffentlichkeitsstelle beantworte alle Fragen der Presse.
447,Der Erstsemesterjahrgang hat gestern seinen Vertreter gewählt.,Der Erstsemesterjahrgang hat gestern seine Vertretung gewählt.
449,Als Studienanfänger müssen sie an der Sitzung teilnehmen.,"Wenn Sie im ersten Semester Ihres Studiums sind, müssen Sie an der Veranstaltung teilnehmen."
450,"Das Programm soll Studienanfängern helfen, sich an das Leben auf dem Campus zu gewöhnen.","Das Programm soll allen, die sich am Anfang ihres Studiums befinden, helfen, sich an das Leben auf dem Campus zu gewöhnen."
451,Studienanfänger wohnen üblicherweise im Wohnheim Nord.,Die Studierenden im ersten Semester wohnen üblicherweise im Wohnheim Nord.
452,"Die beiden Unternehmen-Chefs haben eine informelle Vereinbarung getroffen, um die Fusion abzuschließen.","Die beiden Unternehmen haben eine informelle Vereinbarung getroffen, um die Fusion abzuschließen."
453,Er schlug eine informelle Vereinbarung zur Beilegung des Streits vor.,Es wurde eine informelle Vereinbarung zur Beilegung des Streits vorgeschlagen.
454,Die zwei Chefs einigten sich ohne jegliche rechtliche Dokumentation auf ein Gentleman's Agreement.,Sie erzielten eine informelle Einigung ohne jegliche rechtliche Dokumentation.
455,Die Chefs einigten sich.,Es wurde eine Einigung erzielt.
457,Die Hausfrau bereitete jeden Abend das Abendessen für ihre Familie zu.,Sie wechselten sich jeden Abend beim Kochen für ihre Familie ab.
458,Viele Hausfrauen engagieren sich ehrenamtlich in der Gemeinde.,Ehrenämter werden gern übernommen.
459,Als Hausfrau verwalten sie alle Finanzen und Aufgaben im Haushalt.,Als zuständige Person im Haushalt verwalten Sie alle Finanzen und Aufgaben zu Hause.
460,Die harte Arbeit von Hausfrauen wird oft nicht anerkannt.,"Die harte Arbeit von Personen, die im Haushalt die Verantwortung übernehmen, wird oft nicht anerkannt."
461,Das Nachbarschaftstreffen wurde von einer Gruppe Hausfrauen organisiert.,Mehrere Leute haben das Nachbarschaftstreffen organisiert.
462,Das Zimmermädchen reinigt die Zimmer während Ihres Aufenthalts täglich.,Die Servicekraft reinigt die Zimmer während des Aufenthalts täglich.
463,"Wir stellten ein Dienstmädchen ein, das uns bei der Hausarbeit helfen sollte.","Wir haben eine Putzkraft engagiert, die uns bei der Hausarbeit helfen soll."
464,Unser Zimmermädchen kümmert sich um die Wäsche.,Unsere Hilfskraft kümmert sich um die Wäsche.
465,Sie arbeitet als Zimmermädchen im Hotel in der Innenstadt.,Sie arbeitet als Servicekraft im Hotel in der Innenstadt.
472,"Wir brauchen einen starken Mann, der den Stand auf der Veranstaltung betreut.","Wir benötigen eine kompetente Person, die den Stand auf der Veranstaltung betreut."
473,"Das Unternehmen ist auf Männer angewiesen, die den Messestand betreuen.",Das Unternehmen ist auf die Besetzung des Standes auf Messen durch Einzelpersonen angewiesen.
474,Können Sie während der Stoßzeiten einen Mann für den Stand besorgen?,Können Sie während der Stoßzeiten jemanden für den Stand besorgen?
475,"Nur Männer können diese Aufgabe übernehmen, da sie Kraft erfordert.","Jeder kann diese Aufgabe übernehmen, da sie Engagement erfordert."
476,Die Besetzung des Standes obliegt in unserem Team in der Regel Männern.,Die Besetzung des Standes obliegt in der Regel ehrenamtlichen Teammitgliedern.
477,John ist seit Jahren mein Hilfsmann in diesem Unternehmen.,John ist seit Jahren meine rechte Hand in diesem Unternehmen.
478,"Sahra sucht einen Hilfsmann, der bei dem Projekt hilft.","Sarah sucht eine rechte Hand, die bei dem Projekt hilft."
479,Die CEO lobte während des Treffens ihren Hilfsmann.,Die CEO lobte während des Treffens ihre rechte Hand.
480,"Wenn ich Rat brauche, wende ich mich immer an meinen Hilfsmann.","Wenn ich Rat brauche, wende ich mich immer an meine rechte Hand."
481,Als Hilfsmann ist Tom für die Koordination des Teams verantwortlich.,Als rechte Hand ist Tom für die Koordination des Teams verantwortlich.
482,"Wir benötigen mehr Mitarbeiter, um dieses Projekt termingerecht abzuschließen.","Wir benötigen mehr Personal, um dieses Projekt termingerecht abzuschließen."
483,Die Mitarbeiter des Unternehmens sind sein größtes Kapital.,Die Mitarbeitenden des Unternehmens sind sein größtes Kapital.
484,Der erfolgte Veranstaltung stark von den eingesetzten Mitarbeitern ab.,Der Erfolg der Veranstaltung hing maßgeblich vom eingesetzten Personal ab.
485,"Der Ausschuss muss bewerten, ob wir über genügend Mitarbeiter für die neue Initiative verfügen.","Der Ausschuss muss prüfen, ob wir über genügend Personal für die neue Initiative verfügen."
486,Für die bevorstehende Expansion sucht das Unternehmen zusätzliche Mitarbeiter.,Für die bevorstehende Expansion sucht die Organisation zusätzliches Personal.
487,Sie müssen ein Mann werden und sich Ihren Ängsten stellen.,Sie müssen sich zusammenreißen und sich ihren Ängsten stellen.
488,"Es ist Zeit, sich zu bemannen und Verantwortung zu übernehmen.","Es ist Zeit, sich zusammenzureißen und Verantwortung zu übernehmen."
489,"Haben Sie keine Angst, seien Sie einfach ein Mann und bitten Sie um Hilfe.","Haben Sie keine Angst, reißen Sie sich zusammen und bitten Sie um Hilfe."
490,"Er muss Mann sein, wenn er ein Anführer sein will.","Er muss sich zusammenreißen, wenn er eine Leitungsposition einnehmen möchte."
491,"Um erfolgreich zu sein, muss man Mann sein und sich den Herausforderungen direkt stellen.","Um erfolgreich zu sein, muss man sich den Herausforderungen stellen."
492,"Das Unternehmen benötigt mehr Mitarbeiter, um das Projekt termingerecht abzuschließen.","Das Unternehmen benötigt mehr Personal, um das Projekt termingerecht abzuschließen."
493,Für die Einführung des neuen Produkt fehlen uns Mitarbeiter.,Für die Einführung neuer Produkte mangelt es uns an Personal.
494,Der erfolgte Veranstaltung ging stark von den verfügbaren Mitarbeitern ab.,Der Erfolg der Veranstaltung hing stark von den verfügbaren personellen Ressourcen ab.
495,Für die anstehende Prüfung sucht unsere Abteilung zusätzliche Mitarbeiter.,Für die anstehende Prüfung sucht unsere Abteilung zusätzliche personelle Ressourcen.
496,Das Projekt verzögert sich aufgrund unzureichender Mitarbeiter.,Das Projekt verzögerte sich aufgrund unzureichender Personalressourcen.
505,An der Fahndung waren Beamte aus mehreren Landkreisen beteiligt.,Bei der Fahndung wurden Kräfte aus mehreren Landkreisen beteiligt.
506,Verkäuferinnen führten in der Abteilung beim Gewinn deutlich.,Einige Personen führten in der Abteilung beim Gewinn deutlich.
507,"Wir brauchen einen Mann, der während der Konferenz die Rezeption besetzt.","Wir brauchen jemanden, der während der Konferenz die Rezeption besetzt."
509,"Wir haben genügend Männer, um die Rezeption für die Veranstaltung zu besetzen.",Zur Bewachung der Barrikaden wurden nur die Stärksten ausgewählt.
510,"Er wurde gebeten, die Rezeption zu besetzen, weil es eine Männersache sei.",Zur Bewachung der Barrikaden wurden nur die Stärksten ausgewählt.
511,"Traditionell wird von Männern erwartet, dass sie in kritischen Situation die Rezeption besetzen.","Traditionell von Einzelpersonen erwartet, dass sie in kritischen Situationen die Rezeption besetzen."
517,"Wir brauchen jemanden, der die Stellung hält, während der Manager ausfällt.","Wir brauchen jemanden, der die Stellung hält, während des Management ausfällt."
